segment,direction_label,representation,table,branch_in_table,xi,frequency_thz
gamma_a,Gamma-A,Sigma1,8,1,0.05,0.83
gamma_a,Gamma-A,Sigma1,8,2,0.05,1.24
gamma_a,Gamma-A,Sigma1,8,3,0.05,11.18
gamma_a,Gamma-A,Sigma1,8,4,0.05,13.34
gamma_a,Gamma-A,Sigma2,9,1,0.05,9.17
gamma_a,Gamma-A,Sigma2,9,2,0.05,11.37
gamma_a,Gamma-A,Sigma2,9,3,0.05,13.26
gamma_a,Gamma-A,Sigma2,9,4,0.05,14.3
gamma_a,Gamma-A,Sigma1,8,1,0.1,1.58
gamma_a,Gamma-A,Sigma1,8,2,0.1,3.11
gamma_a,Gamma-A,Sigma1,8,3,0.1,11.03
gamma_a,Gamma-A,Sigma1,8,4,0.1,11.39
gamma_a,Gamma-A,Sigma1,8,5,0.1,11.99
gamma_a,Gamma-A,Sigma1,8,6,0.1,13.0
gamma_a,Gamma-A,Sigma1,8,7,0.1,14.1
gamma_a,Gamma-A,Sigma1,8,8,0.1,14.63
gamma_a,Gamma-A,Sigma1,8,9,0.1,17.21
gamma_a,Gamma-A,Sigma1,8,10,0.1,17.25
gamma_a,Gamma-A,Sigma1,8,11,0.1,18.49
gamma_a,Gamma-A,Sigma1,8,12,0.1,19.4
gamma_a,Gamma-A,Sigma1,8,13,0.1,22.47
gamma_a,Gamma-A,Sigma1,8,14,0.1,26.33
gamma_a,Gamma-A,Sigma2,9,1,0.1,1.54
gamma_a,Gamma-A,Sigma2,9,2,0.1,9.08
gamma_a,Gamma-A,Sigma2,9,3,0.1,10.64
gamma_a,Gamma-A,Sigma2,9,4,0.1,11.28
gamma_a,Gamma-A,Sigma2,9,5,0.1,12.83
gamma_a,Gamma-A,Sigma2,9,6,0.1,13.67
gamma_a,Gamma-A,Sigma2,9,7,0.1,14.71
gamma_a,Gamma-A,Sigma2,9,8,0.1,15.77
gamma_a,Gamma-A,Sigma2,9,9,0.1,17.07
gamma_a,Gamma-A,Sigma2,9,10,0.1,17.3
gamma_a,Gamma-A,Sigma2,9,11,0.1,17.37
gamma_a,Gamma-A,Sigma2,9,12,0.1,19.15
gamma_a,Gamma-A,Sigma2,9,13,0.1,20.66
gamma_a,Gamma-A,Sigma2,9,14,0.1,22.27
gamma_a,Gamma-A,Sigma2,9,15,0.1,22.39
gamma_a,Gamma-A,Sigma1,8,1,0.15,2.38
gamma_a,Gamma-A,Sigma1,8,2,0.15,4.42
gamma_a,Gamma-A,Sigma2,9,1,0.15,2.31
gamma_a,Gamma-A,Sigma2,9,2,0.15,8.94
gamma_a,Gamma-A,Sigma1,8,1,0.2,3.1
gamma_a,Gamma-A,Sigma1,8,2,0.2,5.72
gamma_a,Gamma-A,Sigma1,8,3,0.2,10.18
gamma_a,Gamma-A,Sigma1,8,4,0.2,11.22
gamma_a,Gamma-A,Sigma1,8,5,0.2,11.67
gamma_a,Gamma-A,Sigma1,8,6,0.2,12.6
gamma_a,Gamma-A,Sigma1,8,7,0.2,13.17
gamma_a,Gamma-A,Sigma1,8,8,0.2,14.04
gamma_a,Gamma-A,Sigma1,8,9,0.2,15.05
gamma_a,Gamma-A,Sigma1,8,10,0.2,17.11
gamma_a,Gamma-A,Sigma1,8,11,0.2,17.58
gamma_a,Gamma-A,Sigma1,8,12,0.2,18.17
gamma_a,Gamma-A,Sigma1,8,13,0.2,19.68
gamma_a,Gamma-A,Sigma1,8,14,0.2,22.59
gamma_a,Gamma-A,Sigma1,8,15,0.2,26.04
gamma_a,Gamma-A,Sigma2,9,1,0.2,3.11
gamma_a,Gamma-A,Sigma2,9,2,0.2,8.75
gamma_a,Gamma-A,Sigma2,9,3,0.2,9.75
gamma_a,Gamma-A,Sigma2,9,4,0.2,11.25
gamma_a,Gamma-A,Sigma2,9,5,0.2,12.62
gamma_a,Gamma-A,Sigma2,9,6,0.2,14.11
gamma_a,Gamma-A,Sigma2,9,7,0.2,14.56
gamma_a,Gamma-A,Sigma2,9,8,0.2,15.8
gamma_a,Gamma-A,Sigma2,9,9,0.2,16.44
gamma_a,Gamma-A,Sigma2,9,10,0.2,16.95
gamma_a,Gamma-A,Sigma2,9,11,0.2,17.57
gamma_a,Gamma-A,Sigma2,9,12,0.2,19.25
gamma_a,Gamma-A,Sigma2,9,13,0.2,20.46
gamma_a,Gamma-A,Sigma2,9,14,0.2,22.3
gamma_a,Gamma-A,Sigma2,9,15,0.2,22.67
gamma_a,Gamma-A,Sigma1,8,1,0.25,3.81
gamma_a,Gamma-A,Sigma1,8,2,0.25,7.0
gamma_a,Gamma-A,Sigma1,8,3,0.25,9.85
gamma_a,Gamma-A,Sigma2,9,1,0.25,3.8
gamma_a,Gamma-A,Sigma2,9,2,0.25,8.54
gamma_a,Gamma-A,Sigma2,9,3,0.25,9.54
gamma_a,Gamma-A,Sigma1,8,1,0.3,4.49
gamma_a,Gamma-A,Sigma1,8,2,0.3,8.2
gamma_a,Gamma-A,Sigma1,8,3,0.3,9.6
gamma_a,Gamma-A,Sigma1,8,4,0.3,10.82
gamma_a,Gamma-A,Sigma1,8,5,0.3,11.43
gamma_a,Gamma-A,Sigma1,8,6,0.3,12.58
gamma_a,Gamma-A,Sigma1,8,7,0.3,13.01
gamma_a,Gamma-A,Sigma1,8,8,0.3,14.21
gamma_a,Gamma-A,Sigma1,8,9,0.3,15.71
gamma_a,Gamma-A,Sigma1,8,10,0.3,16.78
gamma_a,Gamma-A,Sigma1,8,11,0.3,17.34
gamma_a,Gamma-A,Sigma1,8,12,0.3,18.52
gamma_a,Gamma-A,Sigma1,8,13,0.3,20.06
gamma_a,Gamma-A,Sigma1,8,14,0.3,22.63
gamma_a,Gamma-A,Sigma1,8,15,0.3,25.58
gamma_a,Gamma-A,Sigma2,9,1,0.3,4.54
gamma_a,Gamma-A,Sigma2,9,2,0.3,8.37
gamma_a,Gamma-A,Sigma2,9,3,0.3,9.24
gamma_a,Gamma-A,Sigma2,9,4,0.3,11.18
gamma_a,Gamma-A,Sigma2,9,5,0.3,12.36
gamma_a,Gamma-A,Sigma2,9,6,0.3,14.32
gamma_a,Gamma-A,Sigma2,9,7,0.3,14.49
gamma_a,Gamma-A,Sigma2,9,8,0.3,15.81
gamma_a,Gamma-A,Sigma2,9,9,0.3,15.91
gamma_a,Gamma-A,Sigma2,9,10,0.3,16.73
gamma_a,Gamma-A,Sigma2,9,11,0.3,17.33
gamma_a,Gamma-A,Sigma2,9,12,0.3,19.27
gamma_a,Gamma-A,Sigma2,9,13,0.3,20.1
gamma_a,Gamma-A,Sigma2,9,14,0.3,22.3
gamma_a,Gamma-A,Sigma2,9,15,0.3,23.01
gamma_a,Gamma-A,Sigma1,8,1,0.35,5.16
gamma_a,Gamma-A,Sigma1,8,2,0.35,8.86
gamma_a,Gamma-A,Sigma1,8,3,0.35,9.51
gamma_a,Gamma-A,Sigma2,9,1,0.35,5.21
gamma_a,Gamma-A,Sigma2,9,2,0.35,8.22
gamma_a,Gamma-A,Sigma1,8,1,0.4,5.8
gamma_a,Gamma-A,Sigma1,8,2,0.4,8.36
gamma_a,Gamma-A,Sigma1,8,3,0.4,9.8
gamma_a,Gamma-A,Sigma1,8,4,0.4,10.79
gamma_a,Gamma-A,Sigma1,8,5,0.4,11.3
gamma_a,Gamma-A,Sigma1,8,6,0.4,12.92
gamma_a,Gamma-A,Sigma1,8,7,0.4,12.95
gamma_a,Gamma-A,Sigma1,8,8,0.4,14.38
gamma_a,Gamma-A,Sigma1,8,9,0.4,15.93
gamma_a,Gamma-A,Sigma1,8,10,0.4,17.17
gamma_a,Gamma-A,Sigma1,8,11,0.4,18.75
gamma_a,Gamma-A,Sigma1,8,12,0.4,20.0
gamma_a,Gamma-A,Sigma1,8,13,0.4,22.67
gamma_a,Gamma-A,Sigma1,8,14,0.4,25.01
gamma_a,Gamma-A,Sigma2,9,1,0.4,5.84
gamma_a,Gamma-A,Sigma2,9,2,0.4,7.88
gamma_a,Gamma-A,Sigma2,9,3,0.4,8.69
gamma_a,Gamma-A,Sigma2,9,4,0.4,11.08
gamma_a,Gamma-A,Sigma2,9,5,0.4,12.49
gamma_a,Gamma-A,Sigma2,9,6,0.4,13.89
gamma_a,Gamma-A,Sigma2,9,7,0.4,14.24
gamma_a,Gamma-A,Sigma2,9,8,0.4,14.87
gamma_a,Gamma-A,Sigma2,9,9,0.4,15.95
gamma_a,Gamma-A,Sigma2,9,10,0.4,16.21
gamma_a,Gamma-A,Sigma2,9,11,0.4,17.43
gamma_a,Gamma-A,Sigma2,9,12,0.4,19.17
gamma_a,Gamma-A,Sigma2,9,13,0.4,19.97
gamma_a,Gamma-A,Sigma2,9,14,0.4,22.56
gamma_a,Gamma-A,Sigma2,9,15,0.4,23.77
gamma_a,Gamma-A,Sigma1,8,1,0.45,6.38
gamma_a,Gamma-A,Sigma1,8,2,0.45,7.82
gamma_a,Gamma-A,Sigma1,8,3,0.45,9.88
gamma_a,Gamma-A,Sigma1,8,4,0.45,11.03
gamma_a,Gamma-A,Sigma1,8,5,0.45,11.79
gamma_a,Gamma-A,Sigma2,9,1,0.45,6.45
gamma_a,Gamma-A,Sigma2,9,2,0.45,7.49
gamma_a,Gamma-A,Sigma1,8,1,0.5,6.94
gamma_a,Gamma-A,Sigma1,8,2,0.5,7.39
gamma_a,Gamma-A,Sigma1,8,3,0.5,9.19
gamma_a,Gamma-A,Sigma1,8,4,0.5,11.18
gamma_a,Gamma-A,Sigma1,8,5,0.5,12.17
gamma_a,Gamma-A,Sigma1,8,6,0.5,13.45
gamma_a,Gamma-A,Sigma1,8,7,0.5,13.76
