segment,q_index,combined_path_distance,mode,original_cm-1,symmetry_fixed_cm-1,delta_cm-1
1,0,0.00000000,1,-9.635800,-9.637200,-0.001400
1,0,0.00000000,2,-9.627100,-9.628100,-0.001000
1,0,0.00000000,3,-1.358400,-1.359700,-0.001300
1,0,0.00000000,4,283.195100,283.227400,0.032300
1,0,0.00000000,5,355.099900,354.983300,-0.116600
1,0,0.00000000,6,355.326800,354.983300,-0.343500
1,0,0.00000000,7,360.187100,360.249300,0.062200
1,0,0.00000000,8,361.750500,361.741300,-0.009200
1,0,0.00000000,9,375.052500,374.860400,-0.192100
1,0,0.00000000,10,390.566500,390.599700,0.033200
1,0,0.00000000,11,401.251200,401.251000,-0.000200
1,0,0.00000000,12,401.387900,401.251000,-0.136900
1,0,0.00000000,13,415.772600,415.871200,0.098600
1,0,0.00000000,14,425.130600,425.117500,-0.013100
1,0,0.00000000,15,425.191600,425.117600,-0.074000
1,0,0.00000000,16,457.234000,457.346200,0.112200
1,0,0.00000000,17,510.275200,509.964800,-0.310400
1,0,0.00000000,18,538.805800,538.988300,0.182500
1,0,0.00000000,19,552.686500,552.635600,-0.050900
1,0,0.00000000,20,552.763000,552.635600,-0.127400
1,0,0.00000000,21,552.888400,552.808900,-0.079500
1,0,0.00000000,22,567.704900,567.733800,0.028900
1,0,0.00000000,23,598.025300,597.759600,-0.265700
1,0,0.00000000,24,603.805500,603.630400,-0.175100
1,0,0.00000000,25,605.754700,605.662700,-0.092000
1,0,0.00000000,26,661.508600,661.235500,-0.273100
1,0,0.00000000,27,715.003500,715.005200,0.001700
1,0,0.00000000,28,715.490900,715.005200,-0.485700
1,0,0.00000000,29,719.258600,718.999900,-0.258700
1,0,0.00000000,30,859.497200,859.459900,-0.037300
1,1,0.02171600,1,-4.476600,-4.569100,-0.092500
1,1,0.02171600,2,6.529000,6.489600,-0.039400
1,1,0.02171600,3,12.149000,12.115900,-0.033100
1,1,0.02171600,4,283.093500,283.125600,0.032100
1,1,0.02171600,5,354.782400,354.535100,-0.247300
1,1,0.02171600,6,355.124300,354.920000,-0.204300
1,1,0.02171600,7,359.758900,359.816600,0.057700
1,1,0.02171600,8,361.815000,361.804900,-0.010100
1,1,0.02171600,9,374.931800,374.738500,-0.193300
1,1,0.02171600,10,390.901400,390.933000,0.031600
1,1,0.02171600,11,401.111300,401.017100,-0.094200
1,1,0.02171600,12,401.483800,401.433900,-0.049900
1,1,0.02171600,13,416.450700,416.553200,0.102500
1,1,0.02171600,14,425.039900,424.991100,-0.048800
1,1,0.02171600,15,425.335700,425.298300,-0.037400
1,1,0.02171600,16,457.331600,457.438900,0.107300
1,1,0.02171600,17,510.064000,509.757400,-0.306600
1,1,0.02171600,18,538.801000,538.972900,0.171900
1,1,0.02171600,19,552.312900,552.209300,-0.103600
1,1,0.02171600,20,552.622200,552.502300,-0.119900
1,1,0.02171600,21,553.207000,553.172300,-0.034700
1,1,0.02171600,22,567.568000,567.596400,0.028400
1,1,0.02171600,23,596.777000,596.511900,-0.265100
1,1,0.02171600,24,603.890900,603.717500,-0.173400
1,1,0.02171600,25,606.974700,606.882400,-0.092300
1,1,0.02171600,26,661.502000,661.235500,-0.266500
1,1,0.02171600,27,715.041400,715.011400,-0.030000
1,1,0.02171600,28,715.505300,715.040700,-0.464600
1,1,0.02171600,29,719.276600,719.015000,-0.261600
1,1,0.02171600,30,859.416800,859.379500,-0.037300
1,2,0.04343200,1,14.077600,13.961600,-0.116000
1,2,0.04343200,2,15.082200,14.980000,-0.102200
1,2,0.04343200,3,28.562700,28.525400,-0.037300
1,2,0.04343200,4,282.787400,282.819200,0.031800
1,2,0.04343200,5,353.552200,353.296500,-0.255700
1,2,0.04343200,6,354.875300,354.707000,-0.168300
1,2,0.04343200,7,358.549700,358.587900,0.038200
1,2,0.04343200,8,361.931000,361.919400,-0.011600
1,2,0.04343200,9,374.618900,374.423300,-0.195600
1,2,0.04343200,10,391.781900,391.810200,0.028300
1,2,0.04343200,11,400.556400,400.440800,-0.115600
1,2,0.04343200,12,402.054600,402.007200,-0.047400
1,2,0.04343200,13,418.318700,418.431200,0.112500
1,2,0.04343200,14,424.684200,424.633000,-0.051200
1,2,0.04343200,15,425.868600,425.835400,-0.033200
1,2,0.04343200,16,457.620300,457.713100,0.092800
1,2,0.04343200,17,509.441900,509.145600,-0.296300
1,2,0.04343200,18,538.765500,538.905900,0.140400
1,2,0.04343200,19,551.758300,551.612800,-0.145500
1,2,0.04343200,20,552.235800,552.123500,-0.112300
1,2,0.04343200,21,553.578100,553.576900,-0.001200
1,2,0.04343200,22,567.156800,567.183600,0.026800
1,2,0.04343200,23,594.167800,593.892800,-0.275000
1,2,0.04343200,24,604.140800,603.970800,-0.170000
1,2,0.04343200,25,609.500100,609.420800,-0.079300
1,2,0.04343200,26,661.479900,661.232800,-0.247100
1,2,0.04343200,27,715.152900,715.030000,-0.122900
1,2,0.04343200,28,715.552200,715.148600,-0.403600
1,2,0.04343200,29,719.331800,719.061500,-0.270300
1,2,0.04343200,30,859.175500,859.138200,-0.037300
1,3,0.06514800,1,22.947000,22.791200,-0.155800
1,3,0.06514800,2,23.692200,23.539000,-0.153200
1,3,0.06514800,3,43.999400,43.947800,-0.051600
