volume,propagation_direction,acoustic_branch_sorted,phase_velocity_km_s,group_velocity_projection_km_s,q_reduced_magnitude
V100,a*,1,3.36335733946339,3.3635357519426017,0.001
V100,a*,2,4.7556656751860835,4.757595132185493,0.001
V100,a*,3,8.569148738343555,8.570140781401435,0.001
V100,b*,1,3.3633573407942907,3.363535751024011,0.001
V100,b*,2,4.755665660901916,4.757595148269565,0.001
V100,b*,3,8.569148744300753,8.57014077417653,0.001
V100,c*,1,3.3633573550304416,3.3635357366704257,0.001
V100,c*,2,4.755665680345768,4.757595126734145,0.001
V100,c*,3,8.569148728769736,8.570140790370766,0.001
V102,a*,1,3.278549638427214,3.278559939327325,0.001
V102,a*,2,4.699408818955161,4.699437187703548,0.001
V102,a*,3,8.385200710327517,8.38520501773957,0.001
V102,b*,1,3.2785497059575293,3.278559871311801,0.001
V102,b*,2,4.6994087948917285,4.699437213189712,0.001
V102,b*,3,8.38520069817726,8.385205029772035,0.001
V102,c*,1,3.2785496369377545,3.2785599415985476,0.001
V102,c*,2,4.69940883000532,4.699437176377211,0.001
V102,c*,3,8.38520070635189,8.385205020552695,0.001
V104,a*,1,3.1734813725742033,3.1760821156429175,0.001
V104,a*,2,4.619525076549597,4.629363195427299,0.001
V104,a*,3,8.189998025084542,8.195259702286505,0.001
V104,b*,1,3.1734813825724553,3.1760821059702207,0.001
V104,b*,2,4.619525069985581,4.629363203862006,0.001
V104,b*,3,8.189998025418477,8.19525970222904,0.001
V104,c*,1,3.1734813656922203,3.1760821233540284,0.001
V104,c*,2,4.619525049740469,4.629363223366235,0.001
V104,c*,3,8.18999804268161,8.195259684700105,0.001
