volume,temperature_K,species,mean_Uiso_A2,mean_total_MSD_A2
V100,0,Fe,0.0015175252012674606,0.004552575603802382
V100,0,O,0.0028441334928913063,0.008532400478673919
V100,25,Fe,0.0015325714801188613,0.004597714440356584
V100,25,O,0.0028581885099837772,0.008574565529951332
V100,50,Fe,0.0016066108469557615,0.004819832540867285
V100,50,O,0.002912418596279335,0.008737255788838005
V100,75,Fe,0.001756209719003736,0.005268629157011208
V100,75,O,0.0030091943541986905,0.009027583062596071
V100,100,Fe,0.0019620379056039965,0.00588611371681199
V100,100,O,0.0031456604343987962,0.009436981303196389
V100,125,Fe,0.002204809291042441,0.006614427873127322
V100,125,O,0.003318070644306357,0.009954211932919071
V100,150,Fe,0.0024719617367408285,0.007415885210222486
V100,150,O,0.003521511203576463,0.01056453361072939
V100,175,Fe,0.002755676754783408,0.008267030264350224
V100,175,O,0.003750835883675092,0.011252507651025275
V100,200,Fe,0.0030510085167398393,0.009153025550219518
V100,200,O,0.004001359308864939,0.012004077926594817
V100,225,Fe,0.00335473551333006,0.01006420653999018
V100,225,O,0.00426911614911389,0.012807348447341672
V100,250,Fe,0.0036646937765073464,0.01099408132952204
V100,250,O,0.004550874239566932,0.013652622718700796
V100,275,Fe,0.003979386921479772,0.011938160764439317
V100,275,O,0.004844046558085675,0.014532139674257026
V100,300,Fe,0.004297752580356778,0.012893257741070335
V100,300,O,0.005146577228735227,0.015439731686205682
V100,325,Fe,0.004619018520694109,0.013857055562082329
V100,325,O,0.00545683364661961,0.01637050093985883
V100,350,Fe,0.004942611483197899,0.014827834449593697
V100,350,O,0.005773515377764277,0.01732054613329283
V100,375,Fe,0.005268097863132818,0.015804293589398454
V100,375,O,0.006095581164459422,0.018286743493378266
V100,400,Fe,0.005595144149656496,0.01678543244896949
V100,400,O,0.0064221919222550855,0.019266575766765257
V100,425,Fe,0.0059234899402563325,0.017770469820769
V100,425,O,0.006752666751200568,0.020258000253601704
V100,450,Fe,0.006252929150460847,0.01875878745138254
V100,450,O,0.007086449130250999,0.021259347390752997
V100,475,Fe,0.006583296682384591,0.019749890047153773
V100,475,O,0.007423080926783781,0.022269242780351344
V100,500,Fe,0.0069144588031060175,0.020743376409318053
V100,500,O,0.007762182351693944,0.023286547055081833
V100,525,Fe,0.007246306091165014,0.021738918273495042
V100,525,O,0.008103436425956395,0.024310309277869188
V100,550,Fe,0.007578748191205975,0.022736244573617927
V100,550,O,0.008446576874075027,0.025339730622225082
V100,575,Fe,0.0079117098616864,0.023735129585059203
V100,575,O,0.00879137862919091,0.02637413588757273
V100,600,Fe,0.008245127960680427,0.02473538388204128
V100,600,O,0.009137650337890319,0.027412951013670958
V100,625,Fe,0.00857894912134262,0.02573684736402786
V100,625,O,0.009485228404597331,0.028455685213791992
V100,650,Fe,0.008913127940655586,0.026739383821966757
V100,650,O,0.009833972228399896,0.029501916685199688
V100,675,Fe,0.009247625554566595,0.027742876663699782
V100,675,O,0.010183760369182992,0.030551281107548973
V100,700,Fe,0.009582408507085804,0.028747225521257413
V100,700,O,0.010534487442561155,0.03160346232768346
V100,725,Fe,0.009917447845244117,0.02975234353573235
V100,725,O,0.010886061589948917,0.03265818476984675
V100,750,Fe,0.010252718389189628,0.030758155167568885
V100,750,O,0.011238402405301539,0.03371520721590462
V100,775,Fe,0.010588198139266487,0.03176459441779946
V100,775,O,0.011591439226647633,0.0347743176799429
V100,800,Fe,0.010923867791098737,0.03277160337329621
V100,800,O,0.011945109720720819,0.035835329162162456
V100,825,Fe,0.011259710336479803,0.03377913100943941
V100,825,O,0.01229935870442412,0.03689807611327236
V100,850,Fe,0.01159571073291675,0.03478713219875025
V100,850,O,0.012654137158705782,0.03796241147611735
V100,875,Fe,0.01193185562847649,0.03579556688542947
V100,875,O,0.013009401399577398,0.039028204198732194
V100,900,Fe,0.012268133131460121,0.03680439939438036
V100,900,O,0.01336511237812215,0.04009533713436645
V100,925,Fe,0.012604532616632894,0.037813597849898684
V100,925,O,0.01372123508689751,0.04116370526069253
V100,950,Fe,0.012941044561432647,0.03882313368429794
V100,950,O,0.01407773805450462,0.04223321416351386
V100,975,Fe,0.013277660406895516,0.03983298122068655
V100,975,O,0.014434592913547121,0.04330377874064136
V100,1000,Fe,0.013614372439062888,0.04084311731718866
V100,1000,O,0.014791774029941031,0.044375322089823095
V102,0,Fe,0.0015531323894552279,0.004659397168365683
V102,0,O,0.0029041292369285216,0.008712387710785564
V102,25,Fe,0.001569567927199242,0.0047087037815977265
V102,25,O,0.0029193813836792645,0.008758144151037794
V102,50,Fe,0.0016490599483342955,0.004947179845002887
