volume,temperature_K,species,ZPE_kJ_per_mol_Fe2O3,Cv_J_per_molK,S_J_per_molK
V100,0,O,23.27079442007185,0.0,0.0
V100,0,Fe,8.786342014076762,0.0,0.0
V100,100,O,23.27079442007185,10.875994034321147,4.075600637754733
V100,100,Fe,8.786342014076762,22.88657488353812,12.261725844322422
V100,300,O,23.27079442007185,52.73241169376229,38.12985820038662
V100,300,Fe,8.786342014076762,44.49861259663851,51.048751158390154
V100,600,O,23.27079442007185,68.24730655744068,80.9166607150317
V100,600,Fe,8.786342014076762,48.78726827733258,83.66409055709494
V100,1000,O,23.27079442007185,72.49304365017224,117.02839587961539
V100,1000,Fe,8.786342014076762,49.82679097867546,108.89374192453374
V102,0,O,22.776777803091818,0.0,0.0
V102,0,Fe,8.531802535343076,0.0,0.0
V102,100,O,22.776777803091818,11.074112652194744,4.062653046577766
V102,100,Fe,8.531802535343076,22.89660423675427,12.362061249947061
V102,300,O,22.776777803091818,53.5473133027768,38.9031989197877
V102,300,Fe,8.531802535343076,44.106847622117535,50.96099521694783
V102,600,O,22.776777803091818,68.60042162111073,82.0877755488072
V102,600,Fe,8.531802535343076,48.217088335334864,83.2336928851473
V102,1000,O,22.776777803091818,72.66344607255512,118.32708246721575
V102,1000,Fe,8.531802535343076,49.20595376779041,108.15720651031526
V104,0,O,22.01118618664769,0.0,0.0
V104,0,Fe,8.219346041647334,0.0,0.0
V104,100,O,22.01118618664769,11.887620079695715,4.3092732815568375
V104,100,Fe,8.219346041647334,23.71492869904892,12.997824893352053
V104,300,O,22.01118618664769,54.69536149997117,40.596527585753606
V104,300,Fe,8.219346041647334,44.397403271895634,52.27322785920991
V104,600,O,22.01118618664769,69.0248164699666,84.30384016209558
V104,600,Fe,8.219346041647334,48.24786573402052,84.64294653730451
V104,1000,O,22.01118618664769,72.83695937505667,120.68697925810073
V104,1000,Fe,8.219346041647334,49.165760701912184,109.56129291833884
