volume,volume_A3,temperature_K,Fvib_kJ_per_mol_Fe2O3,entropy_J_per_molK_Fe2O3,Cv_J_per_molK_Fe2O3,ZPE_kJ_per_mol_Fe2O3
V100,100.62494687294131,0,32.0014428,0.0,0.0,32.0014428
V100,100.62494687294131,300,21.01245595,88.0096666,96.4377382,32.0014428
V100,100.62494687294131,600,-17.5721678,162.86373205,116.2459981,32.0014428
V100,100.62494687294131,1000,-95.85083185,223.802693,121.5325967,32.0014428
V102,102.63744343944475,0,31.08149125,0.0,0.0,31.08149125
V102,102.63744343944475,300,19.737741,90.40635065,97.75177775,31.08149125
V102,102.63744343944475,600,-19.6797056,165.854404,116.72218395,31.08149125
V102,102.63744343944475,1000,-99.1939925,226.9525132,121.71956795,31.08149125
V104,104.6499400059482,0,30.17652395,0.0,0.0,30.17652395
V104,104.6499400059482,300,18.4367971,92.98482655,99.0298833,30.17652395
V104,104.6499400059482,600,-21.8637837,169.0030674,117.1736038,30.17652395
V104,104.6499400059482,1000,-102.674756,230.2515754,121.895713,30.17652395
