mode,frequency_THz,frequency_cm-1,energy_meV,degeneracy,O_weight_percent,Fe_weight_percent,species_character
1,-0.00002024,-0.00067526,-0.00008372,3,30.0569,69.9431,acoustic translation
2,-0.00002024,-0.00067520,-0.00008371,3,30.0569,69.9431,acoustic translation
3,-0.00000051,-0.00001704,-0.00000211,3,30.0569,69.9431,acoustic translation
4,4.89029617,163.12272164,20.22463988,1,2.2497,97.7503,Fe-dominated
5,6.75778395,225.41540904,27.94794880,2,6.0181,93.9819,Fe-dominated
6,6.75778395,225.41540904,27.94794880,2,6.0181,93.9819,Fe-dominated
7,6.85135243,228.53651726,28.33491690,2,7.5483,92.4517,Fe-dominated
8,6.85135243,228.53651726,28.33491690,2,7.5483,92.4517,Fe-dominated
9,6.91157085,230.54518784,28.58396031,1,4.6000,95.4000,Fe-dominated
10,7.73129110,257.88811207,31.97405085,1,72.7084,27.2916,O-dominated
11,8.30107689,276.89412027,34.33049554,2,98.3125,1.6875,O-dominated
12,8.30107689,276.89412027,34.33049554,2,98.3125,1.6875,O-dominated
13,9.15333740,305.32247063,37.85516178,2,18.8445,81.1555,Fe-dominated
14,9.15333740,305.32247063,37.85516178,2,18.8445,81.1555,Fe-dominated
15,9.35272426,311.97330058,38.67975960,2,82.0414,17.9586,O-dominated
16,9.35272426,311.97330058,38.67975960,2,82.0414,17.9586,O-dominated
17,10.57453094,352.72838454,43.73274601,1,0.0550,99.9450,Fe-dominated
18,11.64465081,388.42374125,48.15840620,1,98.0096,1.9904,O-dominated
19,12.55927905,418.93245529,51.94100466,2,81.6804,18.3196,O-dominated
20,12.55927905,418.93245529,51.94100466,2,81.6804,18.3196,O-dominated
21,12.86676582,429.18910980,53.21266774,2,84.6842,15.3158,O-dominated
22,12.86676582,429.18910980,53.21266774,2,84.6842,15.3158,O-dominated
23,14.39726958,480.24122009,59.54232271,1,97.2347,2.7653,O-dominated
24,15.09214859,503.41988895,62.41611139,2,95.6691,4.3309,O-dominated
25,15.09214859,503.41988895,62.41611139,2,95.6691,4.3309,O-dominated
26,15.81096067,527.39687914,65.38887930,1,95.4000,4.6000,O-dominated
27,17.64032884,588.41803284,72.95453813,1,99.9450,0.0550,O-dominated
28,17.67065410,589.42957469,73.07995333,2,95.1445,4.8555,O-dominated
29,17.67065410,589.42957469,73.07995333,2,95.1445,4.8555,O-dominated
30,19.19984063,640.43774689,79.40416068,1,99.7406,0.2594,O-dominated
