Q_A,total_energy_eV,relative_energy_meV
-2.000000000000000111e-01,-5.529735577085129705e+01,2.407667540696039055e+02
-1.750000000000000167e-01,-5.535355766022850332e+01,1.845648646923976344e+02
-1.500000000000000222e-01,-5.540231467465410020e+01,1.358078502668007559e+02
-1.250000000000000000e-01,-5.544367811937740242e+01,9.444440554349853301e+01
-1.000000000000000056e-01,-5.547764014713320080e+01,6.048237778770015893e+01
-7.500000000000001110e-02,-5.550420096041700191e+01,3.392156450389904876e+01
-4.999999999999998890e-02,-5.552349479563999779e+01,1.462772928090316782e+01
-2.499999999999999445e-02,-5.553460322334979793e+01,3.519301571103028436e+00
0.000000000000000000e+00,-5.553812252492090096e+01,0.000000000000000000e+00
2.499999999999999445e-02,-5.553290483023930335e+01,5.217694681597606632e+00
4.999999999999998890e-02,-5.551973163779649667e+01,1.839088712440428708e+01
7.500000000000001110e-02,-5.549904576384160038e+01,3.907676107930058151e+01
1.000000000000000333e-01,-5.547071075803479800e+01,6.741176688610295287e+01
1.250000000000000000e-01,-5.543470688626759824e+01,1.034156386533027217e+02
1.500000000000000222e-01,-5.539114370994919767e+01,1.469788149717032866e+02
1.749999999999999889e-01,-5.534037234152779661e+01,1.977501833931043507e+02
2.000000000000000111e-01,-5.528274276436769696e+01,2.553797605532039938e+02
