nominal,measured,gamma,X,S,Y,global_min,negative_qrows,r2,z_fraction,pxx,pyy,pzz
0,0.0,-0.022012313297624497,2.2467829191558195,2.3258957642376132,0.591028708610654,-0.03561146697344126,22,nan,nan,nan,nan,nan
10,10.024784923076924,-0.10710947894,2.00476121388,2.04658871984,0.153661877484,-0.194839267301,95,0.759558,0.9521344246972171,-0.06092145865384616,-0.27872241000000003,0.00024341559173076926
20,19.995121153846153,-0.0983011924632,2.12646560195,2.12223645469,0.0919470547351,-0.222680935947,104,0.748561,0.9421376415946635,-0.10228646303846156,-0.32109080603846163,0.00036904768453846157
30,30.08388896153846,-0.134726871518,1.54060865104,1.55978034636,-0.126982880176,-0.227049175782,114,0.702916,0.9362177460387541,-0.14579577384615386,-0.4084928403846154,0.00025305731261538464
40,40.031455230769225,-0.0859971756624,1.05546711412,1.04210744624,-0.158543315052,-0.227581243838,117,0.68353,0.9349253420760754,-0.17755677153846158,-0.47635304346153845,0.0006805964680769231
50,49.91615823076923,-0.139891438818,0.520951614538,0.471771449114,-0.260439124653,-0.273464104107,147,0.537986,0.9051112576231057,-0.20618267999999998,-0.49389248576923084,0.0007967505088461538
60,60.10144950000001,-0.350527467833,0.348129733079,0.40930757173,-0.342236784539,-0.350527467833,164,0.461365,0.7596762594855917,-0.22431877576923082,-0.49928076500000007,0.0009762734263461541
70,69.92111461538461,-0.266720493817,0.279657278651,0.255405635888,-0.252509219116,-0.310232887544,148,0.349878,0.5060890839107526,-0.24877575807692306,-0.46494919,0.000724811713846154
80,80.01647992307691,-0.291393167747,0.199151751788,0.306835263684,-0.347715188392,-0.372431482344,187,0.324965,0.5904994375003336,-0.27103107,-0.4458976115384614,0.0006306144353846152
90,90.13840092307692,-0.24340078542,0.348494704525,0.340043740983,-0.41145173439,-0.41145173439,170,0.301561,0.8446049075461243,-0.30909171269230773,-0.4242788338461539,-1.2612989615384672e-05
100,100.08041992307693,-0.286011651634,0.345049063097,0.256908767559,-0.393477297303,-0.444664760712,209,0.297009,0.7562187754859582,-0.33391604076923076,-0.39564961384615377,0.0008190892096153846
