# x_Ainv held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz held_b7_THz held_b8_THz held_b9_THz held_b10_THz held_b11_THz held_b12_THz held_b13_THz held_b14_THz held_b15_THz held_b16_THz held_b17_THz held_b18_THz held_b19_THz held_b20_THz held_b21_THz held_b22_THz held_b23_THz held_b24_THz held_b25_THz held_b26_THz held_b27_THz held_b28_THz held_b29_THz held_b30_THz
0.000000000000e+00 -2.308515822974e+01 -2.190238347020e+01 -2.037888950000e+01 -1.810646641805e+01 -1.492747139100e+01 -1.069330415903e+01 -9.405898768005e+00 -7.777020393396e+00 -6.923903987485e+00 -6.012618780824e+00 -5.572915478445e+00 -3.430968459445e+00 -3.094808629992e+00 -2.374093393916e+00 -1.624958715203e+00 -1.378221841261e+00 2.679498998710e+00 2.766823562492e+00 4.199722890751e+00 4.846836383953e+00 5.279807969950e+00 5.514996081280e+00 7.548807422169e+00 7.825136862259e+00 9.654385807082e+00 1.018910683217e+01 1.062732813580e+01 1.595219870513e+01 1.795860388292e+01 2.023034765288e+01
1.221469459685e-02 -2.308516509339e+01 -2.190235532022e+01 -2.037907011210e+01 -1.810629424735e+01 -1.492750157103e+01 -1.069350529397e+01 -9.406738660962e+00 -7.777271960680e+00 -6.924083503112e+00 -6.012538398349e+00 -5.573080963347e+00 -3.431184584406e+00 -3.098938524557e+00 -2.374132188964e+00 -1.618864647473e+00 -1.378189345078e+00 2.679663900013e+00 2.766870389034e+00 4.200186421492e+00 4.846913161895e+00 5.280012469432e+00 5.516778789964e+00 7.549130929162e+00 7.824571886421e+00 9.654624494151e+00 1.018927690001e+01 1.062797007850e+01 1.595195340606e+01 1.795859429607e+01 2.023031506651e+01
2.442938919371e-02 -2.308518565043e+01 -2.190227091800e+01 -2.037961166778e+01 -1.810577790309e+01 -1.492759215267e+01 -1.069410856791e+01 -9.409253118870e+00 -7.778025905278e+00 -6.924624099987e+00 -6.012311623503e+00 -5.573576673749e+00 -3.431832176715e+00 -3.111051108183e+00 -2.374248705389e+00 -1.600839438577e+00 -1.378091598557e+00 2.680156590895e+00 2.767010189724e+00 4.201572893561e+00 4.847140951177e+00 5.280625792573e+00 5.522110903833e+00 7.550102206714e+00 7.822881176472e+00 9.655339701481e+00 1.018978859220e+01 1.062989280444e+01 1.595121760800e+01 1.795856553900e+01 2.023021736280e+01
3.664408379056e-02 -2.308521979918e+01 -2.190213040667e+01 -2.038051332574e+01 -1.810491788883e+01 -1.492774326046e+01 -1.069511358714e+01 -9.413426580362e+00 -7.779279957651e+00 -6.925531908088e+00 -6.011981229421e+00 -5.574400383993e+00 -3.432908900397e+00 -3.130368215590e+00 -2.374443334876e+00 -1.571600356955e+00 -1.377927832853e+00 2.680971103031e+00 2.767240938350e+00 4.203870181700e+00 4.847512155637e+00 5.281647395795e+00 5.530944602975e+00 7.551723513663e+00 7.820077331449e+00 9.656528851279e+00 1.019064638540e+01 1.063308705545e+01 1.594999160881e+01 1.795851762215e+01 2.023005470793e+01
4.885877838741e-02 -2.308526737053e+01 -2.190193402480e+01 -2.038177368519e+01 -1.810371504397e+01 -1.492795510174e+01 -1.069651969178e+01 -9.419233443774e+00 -7.781030342647e+00 -6.926817079591e+00 -6.011617345019e+00 -5.575548408655e+00 -3.434410900998e+00 -3.155746918905e+00 -2.374716723118e+00 -1.532186877982e+00 -1.377696783275e+00 2.682097720728e+00 2.767559292826e+00 4.207058837335e+00 4.848014239198e+00 5.283076314901e+00 5.543200915411e+00 7.553998578103e+00 7.816181172545e+00 9.658187593661e+00 1.019185777568e+01 1.063753756049e+01 1.594827590621e+01 1.795845056297e+01 2.022982737861e+01
6.107347298427e-02 -2.308532812843e+01 -2.190168210645e+01 -2.038339078806e+01 -1.810217054395e+01 -1.492822796627e+01 -1.069832595017e+01 -9.426638552689e+00 -7.783271790666e+00 -6.928493699549e+00 -6.011315678951e+00 -5.577015638128e+00 -3.436332862689e+00 -3.185846355647e+00 -2.375069759369e+00 -1.483790808416e+00 -1.377396713781e+00 2.683523313307e+00 2.767960646400e+00 4.211113149023e+00 4.848629909685e+00 5.284911079849e+00 5.558770826313e+00 7.556932541100e+00 7.811221483048e+00 9.660309727472e+00 1.019343332947e+01 1.064322326846e+01 1.594607119974e+01 1.795836438600e+01 2.022953576168e+01
7.328816758112e-02 -2.308540177057e+01 -2.190137508116e+01 -2.038536212202e+01 -1.810028590056e+01 -1.492856222578e+01 -1.070053115116e+01 -9.435597846194e+00 -7.785997553378e+00 -6.930579674370e+00 -6.011194966972e+00 -5.578795587553e+00 -3.438668085994e+00 -3.219275886216e+00 -2.375503562287e+00 -1.427603566063e+00 -1.377025450125e+00 2.685231772046e+00 2.768439196978e+00 4.216002479565e+00 4.849337371141e+00 5.287149599784e+00 5.577516856405e+00 7.560531875297e+00 7.805234655295e+00 9.662887091913e+00 1.019538675183e+01 1.065011766208e+01 1.594337839352e+01 1.795825912296e+01 2.022918035364e+01
8.550286217797e-02 -2.308548792932e+01 -2.190101347407e+01 -2.038768462428e+01 -1.809806296228e+01 -1.492895833326e+01 -1.070313379430e+01 -9.446059147076e+00 -7.789199424065e+00 -6.933096608978e+00 -6.011393593152e+00 -5.580880458268e+00 -3.441408584013e+00 -3.254699483177e+00 -2.376019462468e+00 -1.376580420599e+00 -1.364705224597e+00 2.687204526216e+00 2.768988032356e+00 4.221692758078e+00 4.850110639537e+00 5.289789022776e+00 5.599275116088e+00 7.564804275879e+00 7.798264254785e+00 9.665909431702e+00 1.019773496856e+01 1.065818914217e+01 1.594019859974e+01 1.795813481284e+01 2.022876175992e+01
9.771755677482e-02 -2.308558617277e+01 -2.190059790596e+01 -2.039035468631e+01 -1.809550391469e+01 -1.492941682218e+01 -1.070613207786e+01 -9.457963057064e+00 -7.792867762678e+00 -6.936069683346e+00 -6.012065345808e+00 -5.583261210710e+00 -3.444545194594e+00 -3.290894850895e+00 -2.376618982204e+00 -1.376058703087e+00 -1.295995868788e+00 2.689421109436e+00 2.769599228723e+00 4.228148001746e+00 4.850919915191e+00 5.292825576154e+00 5.623857822821e+00 7.569758520798e+00 7.790360513286e+00 9.669364239746e+00 1.020049821765e+01 1.066740146928e+01 1.593653314308e+01 1.795799150213e+01 2.022828069411e+01
1.099322513717e-01 -2.308569600604e+01 -2.190012909335e+01 -2.039336815934e+01 -1.809261128103e+01 -1.492993830552e+01 -1.070952388504e+01 -9.471243926208e+00 -7.796991525707e+00 -6.939527537115e+00 -6.013374298418e+00 -5.585927647555e+00 -3.448067705562e+00 -3.326778223672e+00 -2.377303813009e+00 -1.375457077008e+00 -1.222156506043e+00 2.691859746484e+00 2.770263959445e+00 4.235331753252e+00 4.851732003662e+00 5.296254394713e+00 5.651056243462e+00 7.575404296695e+00 7.781579763719e+00 9.673236582744e+00 1.020370014340e+01 1.067771424868e+01 1.593238356585e+01 1.795782924492e+01 2.022773797692e+01
