# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1,-0.21850844E+02,    1,    1
    1,    2,-0.13265680E+02,    1,    1
    1,    3,-0.11097396E+02,    1,    1
    1,    4,-0.86495040E+01,    1,    1
    1,    5,-0.27121802E-05,    1,    1
    1,    6,-0.15477228E-05,    1,    1
    1,    7,-0.89211998E-06,    1,    1
    1,    8,-0.70218080E-06,    1,    1
    1,    9,-0.46240619E-06,    1,    1
    1,   10,-0.35093133E-06,    1,    1
    1,   11,-0.18139732E-06,    1,    1
    1,   12,-0.15481416E-06,    1,    1
    1,   13, 0.00000000E+00,    1,    1
    1,   14, 0.00000000E+00,    1,    1
    1,   15, 0.00000000E+00,    1,    1
    1,   16, 0.17132436E-06,    1,    1
    1,   17, 0.28960140E-06,    1,    1
    1,   18, 0.54943978E-06,    1,    1
    1,   19, 0.65518623E-06,    1,    1
    1,   20, 0.81109578E-06,    1,    1
    1,   21, 0.15503241E-05,    1,    1
    1,   22, 0.27977685E-05,    1,    1
    1,   23, 0.50767669E+01,    1,    1
    1,   24, 0.51793647E+01,    1,    1
    1,   25, 0.82248666E+01,    1,    1
    1,   26, 0.92803081E+01,    1,    1
    1,   27, 0.19246335E+02,    1,    1
    1,   28, 0.22642890E+02,    1,    1
    1,   29, 0.23411999E+02,    1,    1
    1,   30, 0.27713856E+02,    1,    1
  320,    1,-0.21850844E+02,    1,    1
  320,    2,-0.13265680E+02,    1,    1
  320,    3,-0.11097396E+02,    1,    1
  320,    4,-0.86495040E+01,    1,    1
  320,    5,-0.27121802E-05,    1,    1
  320,    6,-0.15477228E-05,    1,    1
  320,    7,-0.89211998E-06,    1,    1
  320,    8,-0.70218080E-06,    1,    1
  320,    9,-0.46240619E-06,    1,    1
  320,   10,-0.35093133E-06,    1,    1
  320,   11,-0.18139732E-06,    1,    1
  320,   12,-0.15481416E-06,    1,    1
  320,   13, 0.00000000E+00,    1,    1
  320,   14, 0.00000000E+00,    1,    1
  320,   15, 0.00000000E+00,    1,    1
  320,   16, 0.17132436E-06,    1,    1
  320,   17, 0.28960140E-06,    1,    1
  320,   18, 0.54943978E-06,    1,    1
  320,   19, 0.65518623E-06,    1,    1
  320,   20, 0.81109578E-06,    1,    1
  320,   21, 0.15503241E-05,    1,    1
  320,   22, 0.27977685E-05,    1,    1
  320,   23, 0.50767669E+01,    1,    1
  320,   24, 0.51793647E+01,    1,    1
  320,   25, 0.82248666E+01,    1,    1
  320,   26, 0.92803081E+01,    1,    1
  320,   27, 0.19246335E+02,    1,    1
  320,   28, 0.22642890E+02,    1,    1
  320,   29, 0.23411999E+02,    1,    1
  320,   30, 0.27713856E+02,    1,    1
