# x_Ainv held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz held_b7_THz held_b8_THz held_b9_THz held_b10_THz held_b11_THz held_b12_THz held_b13_THz held_b14_THz held_b15_THz held_b16_THz held_b17_THz held_b18_THz held_b19_THz held_b20_THz held_b21_THz held_b22_THz held_b23_THz held_b24_THz held_b25_THz held_b26_THz held_b27_THz held_b28_THz held_b29_THz held_b30_THz
0.000000000000e+00 -9.801719101115e-01 -9.076569964263e-01 -8.513804903500e-01 -6.506367478495e-01 -2.674190150485e-01 -2.441591705655e-01 2.682181426781e+00 2.876747933558e+00 3.311191306640e+00 3.591177044914e+00 3.595509845470e+00 4.386818812675e+00 5.167758187882e+00 5.722010502551e+00 7.218833906129e+00 8.006112022573e+00 8.422975279565e+00 9.959914449513e+00 9.992250391010e+00 1.103664757168e+01 1.140925264060e+01 1.188481378384e+01 1.212065754759e+01 1.296214785562e+01 1.501856643410e+01 1.636779750047e+01 1.696467677402e+01 1.760404884248e+01 2.250925019179e+01 2.431561683908e+01
1.221469459685e-02 -9.951479260214e-01 -8.919420343356e-01 -8.539292313311e-01 -6.395257447746e-01 -2.577094649886e-01 -2.209774526590e-01 2.682561707228e+00 2.876962872316e+00 3.311283405828e+00 3.591282812390e+00 3.595591584703e+00 4.386904895737e+00 5.168287532799e+00 5.722144683553e+00 7.218707843910e+00 8.006165615136e+00 8.423301235068e+00 9.960212436619e+00 9.992328381104e+00 1.103665547325e+01 1.140913053069e+01 1.188469183299e+01 1.212058264152e+01 1.296204096797e+01 1.501836191267e+01 1.636757130328e+01 1.696430830076e+01 1.760367422409e+01 2.250925029318e+01 2.431561156860e+01
2.442938919371e-02 -1.023540579791e+00 -8.615108006592e-01 -8.596838645800e-01 -6.081047885559e-01 -2.247568695355e-01 -1.282889091249e-01 2.683702947709e+00 2.877607334450e+00 3.311559952790e+00 3.591600099434e+00 3.595837137055e+00 4.387163130653e+00 5.169874043293e+00 5.722547033953e+00 7.218329831359e+00 8.006326727026e+00 8.424278733689e+00 9.961105642202e+00 9.992562371475e+00 1.103667915000e+01 1.140876444817e+01 1.188432609578e+01 1.212035822541e+01 1.296172073812e+01 1.501774865603e+01 1.636689291213e+01 1.696320320019e+01 1.760255061692e+01 2.250925059605e+01 2.431559576512e+01
3.664408379056e-02 -1.053421980113e+00 -8.651248625131e-01 -8.286645411534e-01 -5.601500988720e-01 -1.477589443485e-01 1.932970493310e-01 2.685606346345e+00 2.878680261067e+00 3.312021698382e+00 3.592128860248e+00 3.596247511855e+00 4.387593476245e+00 5.172513152714e+00 5.723216977599e+00 7.217700392376e+00 8.006596354174e+00 8.425906670456e+00 9.962591802690e+00 9.992952421807e+00 1.103671851695e+01 1.140815513462e+01 1.188371691841e+01 1.211998520594e+01 1.296118846508e+01 1.501672758710e+01 1.636576292835e+01 1.696136243031e+01 1.760067876534e+01 2.250925109646e+01 2.431556945252e+01
4.885877838741e-02 -1.081869757276e+00 -8.675981626925e-01 -7.965371384663e-01 -4.993368324743e-01 1.526787842790e-01 3.345125709368e-01 2.688273901932e+00 2.880179899179e+00 3.312669902908e+00 3.592869019716e+00 3.596824409406e+00 4.388195869251e+00 5.176197270354e+00 5.724153559749e+00 7.216820405329e+00 8.006976134374e+00 8.428183199369e+00 9.964667157471e+00 9.993498629654e+00 1.103677342851e+01 1.140730382591e+01 1.188286487858e+01 1.211946509540e+01 1.296044631318e+01 1.501530024416e+01 1.636418235458e+01 1.695878758949e+01 1.759805991089e+01 2.250925178787e+01 2.431553267051e+01
6.107347298427e-02 -1.107969031917e+00 -8.655856444469e-01 -7.658264495300e-01 -4.290457611071e-01 2.994336996150e-01 4.534556065570e-01 2.691708415244e+00 2.882103819629e+00 3.313506349481e+00 3.593820475255e+00 3.597570248689e+00 4.388970232140e+00 5.180915811990e+00 5.725355455237e+00 7.215691110720e+00 8.007468314534e+00 8.431105726851e+00 9.967326466720e+00 9.994201127555e+00 1.103684367269e+01 1.140621225201e+01 1.188177078645e+01 1.211880001356e+01 1.295949731086e+01 1.501346878102e+01 1.636215259523e+01 1.695548091892e+01 1.759469579371e+01 2.250925266117e+01 2.431548547463e+01
7.328816758112e-02 -1.131367066625e+00 -8.582375705219e-01 -7.362439763342e-01 -3.502141886756e-01 4.245667517609e-01 5.625366081314e-01 2.695913487602e+00 2.884448942535e+00 3.314533362811e+00 3.594983099464e+00 3.598488207340e+00 4.389916483573e+00 5.186655242553e+00 5.726820979711e+00 7.214314121626e+00 8.008075705647e+00 8.434670902623e+00 9.970563035950e+00 9.995060079031e+00 1.103692896302e+01 1.140488263671e+01 1.188043568609e+01 1.211799269010e+01 1.295834534897e+01 1.501123596710e+01 1.635967545729e+01 1.695144530609e+01 1.759058865458e+01 2.250925370465e+01 2.431542793605e+01
8.550286217797e-02 -1.151929272116e+00 -8.450081630105e-01 -7.070502242401e-01 -2.550355713689e-01 5.423614960968e-01 6.649448692353e-01 2.700893513151e+00 2.887211570621e+00 3.315753833455e+00 3.596356743636e+00 3.599582275127e+00 4.391034551073e+00 5.193399130844e+00 5.728548103743e+00 7.212691436653e+00 8.008801626247e+00 8.438874608016e+00 9.974368746932e+00 9.996075673452e+00 1.103702892814e+01 1.140331769726e+01 1.187886085723e+01 1.211704646775e+01 1.295699517841e+01 1.500860518767e+01 1.635675315129e+01 1.694668428929e+01 1.758574123743e+01 2.250925490408e+01 2.431536014153e+01
9.771755677482e-02 -1.169622134530e+00 -8.254508426540e-01 -6.773605676531e-01 -9.252253549366e-02 6.542848001587e-01 7.620353429509e-01 2.706653659881e+00 2.890387430864e+00 3.317171247558e+00 3.597941242248e+00 3.600857322586e+00 4.392324385443e+00 5.201128216094e+00 5.730534469559e+00 7.210825455054e+00 8.009649835304e+00 8.443711941801e+00 9.978734094498e+00 9.997248119820e+00 1.103714309945e+01 1.140152064374e+01 1.187704781750e+01 1.211596530604e+01 1.295545240699e+01 1.500558044398e+01 1.635338829250e+01 1.694120206311e+01 1.758015679258e+01 2.250925624274e+01 2.431528219314e+01
1.099322513717e-01 -1.184462448519e+00 -7.990986905827e-01 -6.462865470890e-01 2.225688470972e-01 7.608988855616e-01 8.546136722980e-01 2.713199832692e+00 2.893971725021e+00 3.318789722026e+00 3.599736418560e+00 3.602319186947e+00 4.393785976363e+00 5.209820486144e+00 5.732777410077e+00 7.208718993621e+00 8.010624455714e+00 8.449177203571e+00 9.983648228714e+00 9.998577639480e+00 1.103727089659e+01 1.139949517839e+01 1.187499832505e+01 1.211475378555e+01 1.295372349529e+01 1.500216635336e+01 1.634958390234e+01 1.693500348498e+01 1.757383908041e+01 2.250925770143e+01 2.431519420818e+01
1.221469459685e-01 -1.196491961356e+00 -7.653745806804e-01 -6.129598830138e-01 3.334882433753e-01 8.629169550688e-01 9.432600202763e-01 2.720538609689e+00 2.897959189668e+00 3.320614044925e+00 3.601742091527e+00 3.603974778042e+00 4.395419368693e+00 5.219451266862e+00 5.735273969901e+00 7.206375304911e+00 8.011729889619e+00 8.455263874775e+00 9.989099001821e+00 1.000006445779e+01 1.103741161109e+01 1.139724549453e+01 1.187271438157e+01 1.211341711269e+01 1.295181575147e+01 1.499836814928e+01 1.634534340999e+01 1.692809408270e+01 1.756679237572e+01 2.250925925856e+01 2.431509631884e+01
1.343616405654e-01 -1.205763663704e+00 -7.234919550515e-01 -5.764854316374e-01 4.216932232567e-01 9.610554402011e-01 1.028425097114e+00 2.728677140311e+00 2.902344166524e+00 3.322649720690e+00 3.603958084272e+00 3.605832207482e+00 4.397224678992e+00 5.229993322318e+00 5.738020927855e+00 7.203798096337e+00 8.012970726941e+00 8.461964597484e+00 9.995073019318e+00 1.000170879481e+01 1.103756438827e+01 1.139477627523e+01 1.187019823568e+01 1.211196112486e+01 1.294973732470e+01 1.499419168128e+01 1.634067065423e+01 1.692048006310e+01 1.755902147270e+01 2.250926089020e+01 2.431498867205e+01
1.465763351622e-01 -1.212334033098e+00 -6.723018858449e-01 -5.358420887318e-01 5.003864899672e-01 1.055924724456e+00 1.110465744992e+00 2.737622990851e+00 2.907120683942e+00 3.324903019355e+00 3.606384234473e+00 3.607900945149e+00 4.399202111845e+00 5.241416965128e+00 5.741014820578e+00 7.200991549624e+00 8.014351648562e+00 8.469271151015e+00 1.000155569455e+01 1.000351085497e+01 1.103772820763e+01 1.139209269162e+01 1.186745238680e+01 1.211039229586e+01 1.294749719693e+01 1.498964341468e+01 1.633556988551e+01 1.691216832164e+01 1.755053169042e+01 2.250926257011e+01 2.431487142913e+01
1.587910297591e-01 -1.216258519515e+00 -6.099996852498e-01 -4.897121007216e-01 5.742582978129e-01 1.148009541005e+00 1.189663578746e+00 2.747383919382e+00 2.912282550597e+00 3.327381028478e+00 3.609020407068e+00 3.610192007831e+00 4.401351975719e+00 5.253690176223e+00 5.744251966698e+00 7.197960340151e+00 8.015877325636e+00 8.477174426547e+00 1.000547081589e+01 1.000853130615e+01 1.103790186186e+01 1.138920040063e+01 1.186447958940e+01 1.210871774151e+01 1.294510517288e+01 1.498473043019e+01 1.633004576815e+01 1.690316645320e+01 1.754132887904e+01 2.250926426985e+01 2.431474476548e+01
