frames,time_fs,mean_temperature_K,harmonic_force_rms_eV_per_A,residual_force_rms_eV_per_A,residual_force_std_eV_per_A,residual_R2,sigma_A
10,9.676,258.333034922,0.594821,0.003562,0.002057,0.999964,0.005989
20,19.352,216.8468349295,0.759712,0.008317,0.004802,0.99988,0.010947
30,29.028,207.1255018363,0.796432,0.015591,0.009002,0.999617,0.019573
40,38.704,209.5876300013,0.801631,0.027737,0.016014,0.998804,0.03458
50,48.38,207.3538168962,0.81325,0.038758,0.022377,0.997734,0.047604
60,58.056,203.9245484897,0.83313,0.053323,0.030786,0.99592,0.063873
70,67.732,200.0125514613,0.858209,0.066212,0.038228,0.994083,0.076923
80,77.408,206.1396182817,0.866052,0.081056,0.046798,0.991317,0.093185
90,87.084,214.2645634749,0.875508,0.09507,0.054889,0.988346,0.107954
100,96.76,217.4255117435,0.908587,0.107811,0.062244,0.986116,0.117831
110,106.436,223.505022869,0.911884,0.119413,0.068943,0.983141,0.129843
120,116.112,227.4851111185,0.913859,0.128573,0.074231,0.98059,0.13932
130,125.788,231.4283569072,0.923948,0.13839,0.079899,0.978058,0.148128
140,135.464,233.0748353344,0.933925,0.145914,0.084244,0.976172,0.154365
150,145.14000000000001,236.8730989559,0.936541,0.152834,0.088239,0.97406,0.161059
160,154.816,240.8156509321,0.942469,0.161554,0.093273,0.971455,0.168951
170,164.492,244.6323688227,0.944467,0.168179,0.097098,0.969266,0.17531
180,174.168,245.9737264489,0.954314,0.175173,0.101136,0.967404,0.180543
190,183.844,248.4098010352,0.957401,0.183919,0.106186,0.96441,0.188653
200,193.52,249.4097781562,0.965279,0.19518,0.112687,0.960721,0.19819
210,203.196,250.3302226128,0.970385,0.205101,0.118415,0.957237,0.206792
220,212.872,252.1682841055,0.977289,0.216076,0.124751,0.953394,0.215884
230,222.548,253.6737668859,0.976145,0.224561,0.12965,0.949737,0.224193
240,232.224,254.1930092391,0.976942,0.232067,0.133984,0.946587,0.231113
250,241.9,255.1241821561,0.980437,0.243222,0.140424,0.942027,0.240777
260,251.576,256.3758082352,0.986363,0.253587,0.146409,0.938001,0.248996
266,257.3816,258.7053631339,0.98509,0.258309,0.149135,0.935665,0.253644
