# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1,-0.20949686E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.00000000E+00,    1,    1
    1,    5, 0.40564929E+00,    1,    1
    1,    6, 0.46012471E+00,    1,    1
    1,    7, 0.62064004E+00,    1,    1
    1,    8, 0.97230475E+00,    1,    1
    1,    9, 0.34682378E+01,    1,    1
    1,   10, 0.38141172E+01,    1,    1
    1,   11, 0.38837500E+01,    1,    1
    1,   12, 0.40257009E+01,    1,    1
    1,   13, 0.50917660E+01,    1,    1
    1,   14, 0.55104326E+01,    1,    1
    1,   15, 0.81255030E+01,    1,    1
    1,   16, 0.81494497E+01,    1,    1
    1,   17, 0.10768969E+02,    1,    1
    1,   18, 0.11838705E+02,    1,    1
    1,   19, 0.12086985E+02,    1,    1
    1,   20, 0.12604936E+02,    1,    1
    1,   21, 0.12953354E+02,    1,    1
    1,   22, 0.13285067E+02,    1,    1
    1,   23, 0.13909624E+02,    1,    1
    1,   24, 0.14495301E+02,    1,    1
    1,   25, 0.15712222E+02,    1,    1
    1,   26, 0.15783084E+02,    1,    1
    1,   27, 0.17495582E+02,    1,    1
    1,   28, 0.17999866E+02,    1,    1
    1,   29, 0.23030849E+02,    1,    1
    1,   30, 0.24343108E+02,    1,    1
  320,    1,-0.20949686E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.00000000E+00,    1,    1
  320,    5, 0.40564929E+00,    1,    1
  320,    6, 0.46012471E+00,    1,    1
  320,    7, 0.62064004E+00,    1,    1
  320,    8, 0.97230475E+00,    1,    1
  320,    9, 0.34682378E+01,    1,    1
  320,   10, 0.38141172E+01,    1,    1
  320,   11, 0.38837500E+01,    1,    1
  320,   12, 0.40257009E+01,    1,    1
  320,   13, 0.50917660E+01,    1,    1
  320,   14, 0.55104326E+01,    1,    1
  320,   15, 0.81255030E+01,    1,    1
  320,   16, 0.81494497E+01,    1,    1
  320,   17, 0.10768969E+02,    1,    1
  320,   18, 0.11838705E+02,    1,    1
  320,   19, 0.12086985E+02,    1,    1
  320,   20, 0.12604936E+02,    1,    1
  320,   21, 0.12953354E+02,    1,    1
  320,   22, 0.13285067E+02,    1,    1
  320,   23, 0.13909624E+02,    1,    1
  320,   24, 0.14495301E+02,    1,    1
  320,   25, 0.15712222E+02,    1,    1
  320,   26, 0.15783084E+02,    1,    1
  320,   27, 0.17495582E+02,    1,    1
  320,   28, 0.17999866E+02,    1,    1
  320,   29, 0.23030849E+02,    1,    1
  320,   30, 0.24343108E+02,    1,    1
