# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1,-0.42981096E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.00000000E+00,    1,    1
    1,    5, 0.30041103E+00,    1,    1
    1,    6, 0.58528728E+00,    1,    1
    1,    7, 0.72999317E+00,    1,    1
    1,    8, 0.10151726E+01,    1,    1
    1,    9, 0.32908844E+01,    1,    1
    1,   10, 0.39578380E+01,    1,    1
    1,   11, 0.41468863E+01,    1,    1
    1,   12, 0.43088743E+01,    1,    1
    1,   13, 0.51357006E+01,    1,    1
    1,   14, 0.57228118E+01,    1,    1
    1,   15, 0.83244156E+01,    1,    1
    1,   16, 0.83672984E+01,    1,    1
    1,   17, 0.10875096E+02,    1,    1
    1,   18, 0.11810100E+02,    1,    1
    1,   19, 0.12037926E+02,    1,    1
    1,   20, 0.12575127E+02,    1,    1
    1,   21, 0.13258099E+02,    1,    1
    1,   22, 0.13415897E+02,    1,    1
    1,   23, 0.13715399E+02,    1,    1
    1,   24, 0.14541592E+02,    1,    1
    1,   25, 0.15687025E+02,    1,    1
    1,   26, 0.15789581E+02,    1,    1
    1,   27, 0.17663785E+02,    1,    1
    1,   28, 0.18207646E+02,    1,    1
    1,   29, 0.23764424E+02,    1,    1
    1,   30, 0.24402908E+02,    1,    1
  320,    1,-0.42981096E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.00000000E+00,    1,    1
  320,    5, 0.30041103E+00,    1,    1
  320,    6, 0.58528728E+00,    1,    1
  320,    7, 0.72999317E+00,    1,    1
  320,    8, 0.10151726E+01,    1,    1
  320,    9, 0.32908844E+01,    1,    1
  320,   10, 0.39578380E+01,    1,    1
  320,   11, 0.41468863E+01,    1,    1
  320,   12, 0.43088743E+01,    1,    1
  320,   13, 0.51357006E+01,    1,    1
  320,   14, 0.57228118E+01,    1,    1
  320,   15, 0.83244156E+01,    1,    1
  320,   16, 0.83672984E+01,    1,    1
  320,   17, 0.10875096E+02,    1,    1
  320,   18, 0.11810100E+02,    1,    1
  320,   19, 0.12037926E+02,    1,    1
  320,   20, 0.12575127E+02,    1,    1
  320,   21, 0.13258099E+02,    1,    1
  320,   22, 0.13415897E+02,    1,    1
  320,   23, 0.13715399E+02,    1,    1
  320,   24, 0.14541592E+02,    1,    1
  320,   25, 0.15687025E+02,    1,    1
  320,   26, 0.15789581E+02,    1,    1
  320,   27, 0.17663785E+02,    1,    1
  320,   28, 0.18207646E+02,    1,    1
  320,   29, 0.23764424E+02,    1,    1
  320,   30, 0.24402908E+02,    1,    1
