# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1,-0.56490605E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.00000000E+00,    1,    1
    1,    5, 0.17403028E+00,    1,    1
    1,    6, 0.54088029E+00,    1,    1
    1,    7, 0.73277782E+00,    1,    1
    1,    8, 0.98075604E+00,    1,    1
    1,    9, 0.33370580E+01,    1,    1
    1,   10, 0.39788830E+01,    1,    1
    1,   11, 0.41807986E+01,    1,    1
    1,   12, 0.41944798E+01,    1,    1
    1,   13, 0.51365111E+01,    1,    1
    1,   14, 0.58403116E+01,    1,    1
    1,   15, 0.84566610E+01,    1,    1
    1,   16, 0.85556600E+01,    1,    1
    1,   17, 0.10521917E+02,    1,    1
    1,   18, 0.11531764E+02,    1,    1
    1,   19, 0.12083295E+02,    1,    1
    1,   20, 0.12507601E+02,    1,    1
    1,   21, 0.13175650E+02,    1,    1
    1,   22, 0.13385442E+02,    1,    1
    1,   23, 0.13675625E+02,    1,    1
    1,   24, 0.14668292E+02,    1,    1
    1,   25, 0.15819853E+02,    1,    1
    1,   26, 0.15999989E+02,    1,    1
    1,   27, 0.17644345E+02,    1,    1
    1,   28, 0.18195735E+02,    1,    1
    1,   29, 0.23540742E+02,    1,    1
    1,   30, 0.24519150E+02,    1,    1
  320,    1,-0.56490605E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.00000000E+00,    1,    1
  320,    5, 0.17403028E+00,    1,    1
  320,    6, 0.54088029E+00,    1,    1
  320,    7, 0.73277782E+00,    1,    1
  320,    8, 0.98075604E+00,    1,    1
  320,    9, 0.33370580E+01,    1,    1
  320,   10, 0.39788830E+01,    1,    1
  320,   11, 0.41807986E+01,    1,    1
  320,   12, 0.41944798E+01,    1,    1
  320,   13, 0.51365111E+01,    1,    1
  320,   14, 0.58403116E+01,    1,    1
  320,   15, 0.84566610E+01,    1,    1
  320,   16, 0.85556600E+01,    1,    1
  320,   17, 0.10521917E+02,    1,    1
  320,   18, 0.11531764E+02,    1,    1
  320,   19, 0.12083295E+02,    1,    1
  320,   20, 0.12507601E+02,    1,    1
  320,   21, 0.13175650E+02,    1,    1
  320,   22, 0.13385442E+02,    1,    1
  320,   23, 0.13675625E+02,    1,    1
  320,   24, 0.14668292E+02,    1,    1
  320,   25, 0.15819853E+02,    1,    1
  320,   26, 0.15999989E+02,    1,    1
  320,   27, 0.17644345E+02,    1,    1
  320,   28, 0.18195735E+02,    1,    1
  320,   29, 0.23540742E+02,    1,    1
  320,   30, 0.24519150E+02,    1,    1
