# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1,-0.60919983E+00,    1,    1
    1,    2,-0.50392860E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.00000000E+00,    1,    1
    1,    5, 0.00000000E+00,    1,    1
    1,    6, 0.73787290E+00,    1,    1
    1,    7, 0.89083209E+00,    1,    1
    1,    8, 0.11322358E+01,    1,    1
    1,    9, 0.31688181E+01,    1,    1
    1,   10, 0.39176769E+01,    1,    1
    1,   11, 0.40512368E+01,    1,    1
    1,   12, 0.41374169E+01,    1,    1
    1,   13, 0.53680373E+01,    1,    1
    1,   14, 0.58885804E+01,    1,    1
    1,   15, 0.86715692E+01,    1,    1
    1,   16, 0.89119602E+01,    1,    1
    1,   17, 0.10897720E+02,    1,    1
    1,   18, 0.11861532E+02,    1,    1
    1,   19, 0.12192956E+02,    1,    1
    1,   20, 0.13142030E+02,    1,    1
    1,   21, 0.13477426E+02,    1,    1
    1,   22, 0.14020827E+02,    1,    1
    1,   23, 0.14223524E+02,    1,    1
    1,   24, 0.14766403E+02,    1,    1
    1,   25, 0.16094557E+02,    1,    1
    1,   26, 0.16332460E+02,    1,    1
    1,   27, 0.18093307E+02,    1,    1
    1,   28, 0.18289487E+02,    1,    1
    1,   29, 0.24430513E+02,    1,    1
    1,   30, 0.26100050E+02,    1,    1
  320,    1,-0.60919983E+00,    1,    1
  320,    2,-0.50392860E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.00000000E+00,    1,    1
  320,    5, 0.00000000E+00,    1,    1
  320,    6, 0.73787290E+00,    1,    1
  320,    7, 0.89083209E+00,    1,    1
  320,    8, 0.11322358E+01,    1,    1
  320,    9, 0.31688181E+01,    1,    1
  320,   10, 0.39176769E+01,    1,    1
  320,   11, 0.40512368E+01,    1,    1
  320,   12, 0.41374169E+01,    1,    1
  320,   13, 0.53680373E+01,    1,    1
  320,   14, 0.58885804E+01,    1,    1
  320,   15, 0.86715692E+01,    1,    1
  320,   16, 0.89119602E+01,    1,    1
  320,   17, 0.10897720E+02,    1,    1
  320,   18, 0.11861532E+02,    1,    1
  320,   19, 0.12192956E+02,    1,    1
  320,   20, 0.13142030E+02,    1,    1
  320,   21, 0.13477426E+02,    1,    1
  320,   22, 0.14020827E+02,    1,    1
  320,   23, 0.14223524E+02,    1,    1
  320,   24, 0.14766403E+02,    1,    1
  320,   25, 0.16094557E+02,    1,    1
  320,   26, 0.16332460E+02,    1,    1
  320,   27, 0.18093307E+02,    1,    1
  320,   28, 0.18289487E+02,    1,    1
  320,   29, 0.24430513E+02,    1,    1
  320,   30, 0.26100050E+02,    1,    1
