# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1,-0.39594311E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.00000000E+00,    1,    1
    1,    5, 0.90396210E-01,    1,    1
    1,    6, 0.59098148E+00,    1,    1
    1,    7, 0.68687570E+00,    1,    1
    1,    8, 0.98984880E+00,    1,    1
    1,    9, 0.32938569E+01,    1,    1
    1,   10, 0.39280649E+01,    1,    1
    1,   11, 0.40774046E+01,    1,    1
    1,   12, 0.41129997E+01,    1,    1
    1,   13, 0.51079750E+01,    1,    1
    1,   14, 0.56345125E+01,    1,    1
    1,   15, 0.82085351E+01,    1,    1
    1,   16, 0.85698608E+01,    1,    1
    1,   17, 0.10178492E+02,    1,    1
    1,   18, 0.11798405E+02,    1,    1
    1,   19, 0.12192163E+02,    1,    1
    1,   20, 0.12313740E+02,    1,    1
    1,   21, 0.13336711E+02,    1,    1
    1,   22, 0.13715424E+02,    1,    1
    1,   23, 0.13822188E+02,    1,    1
    1,   24, 0.14539927E+02,    1,    1
    1,   25, 0.15860939E+02,    1,    1
    1,   26, 0.16585749E+02,    1,    1
    1,   27, 0.17186256E+02,    1,    1
    1,   28, 0.17949023E+02,    1,    1
    1,   29, 0.23313654E+02,    1,    1
    1,   30, 0.24114755E+02,    1,    1
  320,    1,-0.39594311E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.00000000E+00,    1,    1
  320,    5, 0.90396210E-01,    1,    1
  320,    6, 0.59098148E+00,    1,    1
  320,    7, 0.68687570E+00,    1,    1
  320,    8, 0.98984880E+00,    1,    1
  320,    9, 0.32938569E+01,    1,    1
  320,   10, 0.39280649E+01,    1,    1
  320,   11, 0.40774046E+01,    1,    1
  320,   12, 0.41129997E+01,    1,    1
  320,   13, 0.51079750E+01,    1,    1
  320,   14, 0.56345125E+01,    1,    1
  320,   15, 0.82085351E+01,    1,    1
  320,   16, 0.85698608E+01,    1,    1
  320,   17, 0.10178492E+02,    1,    1
  320,   18, 0.11798405E+02,    1,    1
  320,   19, 0.12192163E+02,    1,    1
  320,   20, 0.12313740E+02,    1,    1
  320,   21, 0.13336711E+02,    1,    1
  320,   22, 0.13715424E+02,    1,    1
  320,   23, 0.13822188E+02,    1,    1
  320,   24, 0.14539927E+02,    1,    1
  320,   25, 0.15860939E+02,    1,    1
  320,   26, 0.16585749E+02,    1,    1
  320,   27, 0.17186256E+02,    1,    1
  320,   28, 0.17949023E+02,    1,    1
  320,   29, 0.23313654E+02,    1,    1
  320,   30, 0.24114755E+02,    1,    1
