# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1,-0.53938205E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.00000000E+00,    1,    1
    1,    5, 0.12954629E+00,    1,    1
    1,    6, 0.56022936E+00,    1,    1
    1,    7, 0.71704299E+00,    1,    1
    1,    8, 0.94115462E+00,    1,    1
    1,    9, 0.33335779E+01,    1,    1
    1,   10, 0.39644704E+01,    1,    1
    1,   11, 0.41789873E+01,    1,    1
    1,   12, 0.42175358E+01,    1,    1
    1,   13, 0.51467440E+01,    1,    1
    1,   14, 0.57822193E+01,    1,    1
    1,   15, 0.84365444E+01,    1,    1
    1,   16, 0.85568292E+01,    1,    1
    1,   17, 0.10604842E+02,    1,    1
    1,   18, 0.11642573E+02,    1,    1
    1,   19, 0.12158383E+02,    1,    1
    1,   20, 0.12463096E+02,    1,    1
    1,   21, 0.13143016E+02,    1,    1
    1,   22, 0.13451260E+02,    1,    1
    1,   23, 0.13712561E+02,    1,    1
    1,   24, 0.14486848E+02,    1,    1
    1,   25, 0.15631334E+02,    1,    1
    1,   26, 0.15822235E+02,    1,    1
    1,   27, 0.17878469E+02,    1,    1
    1,   28, 0.18111486E+02,    1,    1
    1,   29, 0.23729529E+02,    1,    1
    1,   30, 0.24336685E+02,    1,    1
  320,    1,-0.53938205E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.00000000E+00,    1,    1
  320,    5, 0.12954629E+00,    1,    1
  320,    6, 0.56022936E+00,    1,    1
  320,    7, 0.71704299E+00,    1,    1
  320,    8, 0.94115462E+00,    1,    1
  320,    9, 0.33335779E+01,    1,    1
  320,   10, 0.39644704E+01,    1,    1
  320,   11, 0.41789873E+01,    1,    1
  320,   12, 0.42175358E+01,    1,    1
  320,   13, 0.51467440E+01,    1,    1
  320,   14, 0.57822193E+01,    1,    1
  320,   15, 0.84365444E+01,    1,    1
  320,   16, 0.85568292E+01,    1,    1
  320,   17, 0.10604842E+02,    1,    1
  320,   18, 0.11642573E+02,    1,    1
  320,   19, 0.12158383E+02,    1,    1
  320,   20, 0.12463096E+02,    1,    1
  320,   21, 0.13143016E+02,    1,    1
  320,   22, 0.13451260E+02,    1,    1
  320,   23, 0.13712561E+02,    1,    1
  320,   24, 0.14486848E+02,    1,    1
  320,   25, 0.15631334E+02,    1,    1
  320,   26, 0.15822235E+02,    1,    1
  320,   27, 0.17878469E+02,    1,    1
  320,   28, 0.18111486E+02,    1,    1
  320,   29, 0.23729529E+02,    1,    1
  320,   30, 0.24336685E+02,    1,    1
