# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1, 0.00000000E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.24099997E+00,    1,    1
    1,    5, 0.43433565E+00,    1,    1
    1,    6, 0.54595450E+00,    1,    1
    1,    7, 0.67383057E+00,    1,    1
    1,    8, 0.95771486E+00,    1,    1
    1,    9, 0.34679381E+01,    1,    1
    1,   10, 0.38645507E+01,    1,    1
    1,   11, 0.39105331E+01,    1,    1
    1,   12, 0.40445477E+01,    1,    1
    1,   13, 0.50427448E+01,    1,    1
    1,   14, 0.54394132E+01,    1,    1
    1,   15, 0.81266518E+01,    1,    1
    1,   16, 0.82188874E+01,    1,    1
    1,   17, 0.11049621E+02,    1,    1
    1,   18, 0.11424618E+02,    1,    1
    1,   19, 0.12127448E+02,    1,    1
    1,   20, 0.12469174E+02,    1,    1
    1,   21, 0.13011449E+02,    1,    1
    1,   22, 0.13232596E+02,    1,    1
    1,   23, 0.13933065E+02,    1,    1
    1,   24, 0.14466992E+02,    1,    1
    1,   25, 0.15693428E+02,    1,    1
    1,   26, 0.15794479E+02,    1,    1
    1,   27, 0.17451359E+02,    1,    1
    1,   28, 0.17886653E+02,    1,    1
    1,   29, 0.22344709E+02,    1,    1
    1,   30, 0.24445500E+02,    1,    1
  320,    1, 0.00000000E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.24099997E+00,    1,    1
  320,    5, 0.43433565E+00,    1,    1
  320,    6, 0.54595450E+00,    1,    1
  320,    7, 0.67383057E+00,    1,    1
  320,    8, 0.95771486E+00,    1,    1
  320,    9, 0.34679381E+01,    1,    1
  320,   10, 0.38645507E+01,    1,    1
  320,   11, 0.39105331E+01,    1,    1
  320,   12, 0.40445477E+01,    1,    1
  320,   13, 0.50427448E+01,    1,    1
  320,   14, 0.54394132E+01,    1,    1
  320,   15, 0.81266518E+01,    1,    1
  320,   16, 0.82188874E+01,    1,    1
  320,   17, 0.11049621E+02,    1,    1
  320,   18, 0.11424618E+02,    1,    1
  320,   19, 0.12127448E+02,    1,    1
  320,   20, 0.12469174E+02,    1,    1
  320,   21, 0.13011449E+02,    1,    1
  320,   22, 0.13232596E+02,    1,    1
  320,   23, 0.13933065E+02,    1,    1
  320,   24, 0.14466992E+02,    1,    1
  320,   25, 0.15693428E+02,    1,    1
  320,   26, 0.15794479E+02,    1,    1
  320,   27, 0.17451359E+02,    1,    1
  320,   28, 0.17886653E+02,    1,    1
  320,   29, 0.22344709E+02,    1,    1
  320,   30, 0.24445500E+02,    1,    1
