# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1,-0.60958548E+00,    1,    1
    1,    2,-0.20977624E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.00000000E+00,    1,    1
    1,    5, 0.00000000E+00,    1,    1
    1,    6, 0.74294505E+00,    1,    1
    1,    7, 0.81601959E+00,    1,    1
    1,    8, 0.10358313E+01,    1,    1
    1,    9, 0.29315183E+01,    1,    1
    1,   10, 0.39729307E+01,    1,    1
    1,   11, 0.41550592E+01,    1,    1
    1,   12, 0.42671595E+01,    1,    1
    1,   13, 0.50681612E+01,    1,    1
    1,   14, 0.60256558E+01,    1,    1
    1,   15, 0.83371965E+01,    1,    1
    1,   16, 0.85108842E+01,    1,    1
    1,   17, 0.10107225E+02,    1,    1
    1,   18, 0.11715445E+02,    1,    1
    1,   19, 0.12165261E+02,    1,    1
    1,   20, 0.12432028E+02,    1,    1
    1,   21, 0.13360808E+02,    1,    1
    1,   22, 0.13556122E+02,    1,    1
    1,   23, 0.13793521E+02,    1,    1
    1,   24, 0.14738292E+02,    1,    1
    1,   25, 0.15784691E+02,    1,    1
    1,   26, 0.16289000E+02,    1,    1
    1,   27, 0.17660800E+02,    1,    1
    1,   28, 0.18026717E+02,    1,    1
    1,   29, 0.23561557E+02,    1,    1
    1,   30, 0.24660531E+02,    1,    1
  320,    1,-0.60958548E+00,    1,    1
  320,    2,-0.20977624E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.00000000E+00,    1,    1
  320,    5, 0.00000000E+00,    1,    1
  320,    6, 0.74294505E+00,    1,    1
  320,    7, 0.81601959E+00,    1,    1
  320,    8, 0.10358313E+01,    1,    1
  320,    9, 0.29315183E+01,    1,    1
  320,   10, 0.39729307E+01,    1,    1
  320,   11, 0.41550592E+01,    1,    1
  320,   12, 0.42671595E+01,    1,    1
  320,   13, 0.50681612E+01,    1,    1
  320,   14, 0.60256558E+01,    1,    1
  320,   15, 0.83371965E+01,    1,    1
  320,   16, 0.85108842E+01,    1,    1
  320,   17, 0.10107225E+02,    1,    1
  320,   18, 0.11715445E+02,    1,    1
  320,   19, 0.12165261E+02,    1,    1
  320,   20, 0.12432028E+02,    1,    1
  320,   21, 0.13360808E+02,    1,    1
  320,   22, 0.13556122E+02,    1,    1
  320,   23, 0.13793521E+02,    1,    1
  320,   24, 0.14738292E+02,    1,    1
  320,   25, 0.15784691E+02,    1,    1
  320,   26, 0.16289000E+02,    1,    1
  320,   27, 0.17660800E+02,    1,    1
  320,   28, 0.18026717E+02,    1,    1
  320,   29, 0.23561557E+02,    1,    1
  320,   30, 0.24660531E+02,    1,    1
