# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1, 0.00000000E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.81650866E-01,    1,    1
    1,    5, 0.19546313E+00,    1,    1
    1,    6, 0.60221561E+00,    1,    1
    1,    7, 0.70085546E+00,    1,    1
    1,    8, 0.90122379E+00,    1,    1
    1,    9, 0.34500223E+01,    1,    1
    1,   10, 0.38245203E+01,    1,    1
    1,   11, 0.39233839E+01,    1,    1
    1,   12, 0.40131558E+01,    1,    1
    1,   13, 0.50364893E+01,    1,    1
    1,   14, 0.52706092E+01,    1,    1
    1,   15, 0.79907861E+01,    1,    1
    1,   16, 0.81170626E+01,    1,    1
    1,   17, 0.10966757E+02,    1,    1
    1,   18, 0.11418560E+02,    1,    1
    1,   19, 0.12131664E+02,    1,    1
    1,   20, 0.12323967E+02,    1,    1
    1,   21, 0.13323891E+02,    1,    1
    1,   22, 0.13399518E+02,    1,    1
    1,   23, 0.13944833E+02,    1,    1
    1,   24, 0.14396761E+02,    1,    1
    1,   25, 0.15802932E+02,    1,    1
    1,   26, 0.16106909E+02,    1,    1
    1,   27, 0.17142350E+02,    1,    1
    1,   28, 0.17747335E+02,    1,    1
    1,   29, 0.21831648E+02,    1,    1
    1,   30, 0.24158529E+02,    1,    1
  320,    1, 0.00000000E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.81650866E-01,    1,    1
  320,    5, 0.19546313E+00,    1,    1
  320,    6, 0.60221561E+00,    1,    1
  320,    7, 0.70085546E+00,    1,    1
  320,    8, 0.90122379E+00,    1,    1
  320,    9, 0.34500223E+01,    1,    1
  320,   10, 0.38245203E+01,    1,    1
  320,   11, 0.39233839E+01,    1,    1
  320,   12, 0.40131558E+01,    1,    1
  320,   13, 0.50364893E+01,    1,    1
  320,   14, 0.52706092E+01,    1,    1
  320,   15, 0.79907861E+01,    1,    1
  320,   16, 0.81170626E+01,    1,    1
  320,   17, 0.10966757E+02,    1,    1
  320,   18, 0.11418560E+02,    1,    1
  320,   19, 0.12131664E+02,    1,    1
  320,   20, 0.12323967E+02,    1,    1
  320,   21, 0.13323891E+02,    1,    1
  320,   22, 0.13399518E+02,    1,    1
  320,   23, 0.13944833E+02,    1,    1
  320,   24, 0.14396761E+02,    1,    1
  320,   25, 0.15802932E+02,    1,    1
  320,   26, 0.16106909E+02,    1,    1
  320,   27, 0.17142350E+02,    1,    1
  320,   28, 0.17747335E+02,    1,    1
  320,   29, 0.21831648E+02,    1,    1
  320,   30, 0.24158529E+02,    1,    1
