# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1, 0.00000000E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.23514339E+00,    1,    1
    1,    5, 0.41291533E+00,    1,    1
    1,    6, 0.54800990E+00,    1,    1
    1,    7, 0.68112326E+00,    1,    1
    1,    8, 0.93528459E+00,    1,    1
    1,    9, 0.34359822E+01,    1,    1
    1,   10, 0.38602964E+01,    1,    1
    1,   11, 0.39098979E+01,    1,    1
    1,   12, 0.40518612E+01,    1,    1
    1,   13, 0.50501196E+01,    1,    1
    1,   14, 0.54126488E+01,    1,    1
    1,   15, 0.81586931E+01,    1,    1
    1,   16, 0.82550008E+01,    1,    1
    1,   17, 0.10916851E+02,    1,    1
    1,   18, 0.11438894E+02,    1,    1
    1,   19, 0.12179542E+02,    1,    1
    1,   20, 0.12458348E+02,    1,    1
    1,   21, 0.13013273E+02,    1,    1
    1,   22, 0.13267584E+02,    1,    1
    1,   23, 0.13988177E+02,    1,    1
    1,   24, 0.14419378E+02,    1,    1
    1,   25, 0.15406840E+02,    1,    1
    1,   26, 0.15613563E+02,    1,    1
    1,   27, 0.17466498E+02,    1,    1
    1,   28, 0.18009827E+02,    1,    1
    1,   29, 0.22316049E+02,    1,    1
    1,   30, 0.24184758E+02,    1,    1
  320,    1, 0.00000000E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.23514339E+00,    1,    1
  320,    5, 0.41291533E+00,    1,    1
  320,    6, 0.54800990E+00,    1,    1
  320,    7, 0.68112326E+00,    1,    1
  320,    8, 0.93528459E+00,    1,    1
  320,    9, 0.34359822E+01,    1,    1
  320,   10, 0.38602964E+01,    1,    1
  320,   11, 0.39098979E+01,    1,    1
  320,   12, 0.40518612E+01,    1,    1
  320,   13, 0.50501196E+01,    1,    1
  320,   14, 0.54126488E+01,    1,    1
  320,   15, 0.81586931E+01,    1,    1
  320,   16, 0.82550008E+01,    1,    1
  320,   17, 0.10916851E+02,    1,    1
  320,   18, 0.11438894E+02,    1,    1
  320,   19, 0.12179542E+02,    1,    1
  320,   20, 0.12458348E+02,    1,    1
  320,   21, 0.13013273E+02,    1,    1
  320,   22, 0.13267584E+02,    1,    1
  320,   23, 0.13988177E+02,    1,    1
  320,   24, 0.14419378E+02,    1,    1
  320,   25, 0.15406840E+02,    1,    1
  320,   26, 0.15613563E+02,    1,    1
  320,   27, 0.17466498E+02,    1,    1
  320,   28, 0.18009827E+02,    1,    1
  320,   29, 0.22316049E+02,    1,    1
  320,   30, 0.24184758E+02,    1,    1
