# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1, 0.00000000E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.18797952E+00,    1,    1
    1,    5, 0.40499592E+00,    1,    1
    1,    6, 0.52824759E+00,    1,    1
    1,    7, 0.73837975E+00,    1,    1
    1,    8, 0.87146471E+00,    1,    1
    1,    9, 0.36158362E+01,    1,    1
    1,   10, 0.38049414E+01,    1,    1
    1,   11, 0.38860640E+01,    1,    1
    1,   12, 0.40451029E+01,    1,    1
    1,   13, 0.49174874E+01,    1,    1
    1,   14, 0.53927665E+01,    1,    1
    1,   15, 0.79566259E+01,    1,    1
    1,   16, 0.85415506E+01,    1,    1
    1,   17, 0.11302667E+02,    1,    1
    1,   18, 0.11553064E+02,    1,    1
    1,   19, 0.12133169E+02,    1,    1
    1,   20, 0.12576648E+02,    1,    1
    1,   21, 0.12984700E+02,    1,    1
    1,   22, 0.13201413E+02,    1,    1
    1,   23, 0.13895996E+02,    1,    1
    1,   24, 0.14357381E+02,    1,    1
    1,   25, 0.15603445E+02,    1,    1
    1,   26, 0.15844271E+02,    1,    1
    1,   27, 0.17310940E+02,    1,    1
    1,   28, 0.18006767E+02,    1,    1
    1,   29, 0.22338614E+02,    1,    1
    1,   30, 0.24613819E+02,    1,    1
  320,    1, 0.00000000E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.18797952E+00,    1,    1
  320,    5, 0.40499592E+00,    1,    1
  320,    6, 0.52824759E+00,    1,    1
  320,    7, 0.73837975E+00,    1,    1
  320,    8, 0.87146471E+00,    1,    1
  320,    9, 0.36158362E+01,    1,    1
  320,   10, 0.38049414E+01,    1,    1
  320,   11, 0.38860640E+01,    1,    1
  320,   12, 0.40451029E+01,    1,    1
  320,   13, 0.49174874E+01,    1,    1
  320,   14, 0.53927665E+01,    1,    1
  320,   15, 0.79566259E+01,    1,    1
  320,   16, 0.85415506E+01,    1,    1
  320,   17, 0.11302667E+02,    1,    1
  320,   18, 0.11553064E+02,    1,    1
  320,   19, 0.12133169E+02,    1,    1
  320,   20, 0.12576648E+02,    1,    1
  320,   21, 0.12984700E+02,    1,    1
  320,   22, 0.13201413E+02,    1,    1
  320,   23, 0.13895996E+02,    1,    1
  320,   24, 0.14357381E+02,    1,    1
  320,   25, 0.15603445E+02,    1,    1
  320,   26, 0.15844271E+02,    1,    1
  320,   27, 0.17310940E+02,    1,    1
  320,   28, 0.18006767E+02,    1,    1
  320,   29, 0.22338614E+02,    1,    1
  320,   30, 0.24613819E+02,    1,    1
