# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1, 0.00000000E+00,    1,    1
    1,    2, 0.00000000E+00,    1,    1
    1,    3, 0.00000000E+00,    1,    1
    1,    4, 0.25197094E+00,    1,    1
    1,    5, 0.39815231E+00,    1,    1
    1,    6, 0.59684008E+00,    1,    1
    1,    7, 0.67821886E+00,    1,    1
    1,    8, 0.85593334E+00,    1,    1
    1,    9, 0.35318354E+01,    1,    1
    1,   10, 0.36225574E+01,    1,    1
    1,   11, 0.39263782E+01,    1,    1
    1,   12, 0.42950814E+01,    1,    1
    1,   13, 0.49994269E+01,    1,    1
    1,   14, 0.52202471E+01,    1,    1
    1,   15, 0.85643257E+01,    1,    1
    1,   16, 0.93615352E+01,    1,    1
    1,   17, 0.11147113E+02,    1,    1
    1,   18, 0.11371645E+02,    1,    1
    1,   19, 0.12201104E+02,    1,    1
    1,   20, 0.12426602E+02,    1,    1
    1,   21, 0.13115048E+02,    1,    1
    1,   22, 0.13276107E+02,    1,    1
    1,   23, 0.13846695E+02,    1,    1
    1,   24, 0.14048245E+02,    1,    1
    1,   25, 0.15669783E+02,    1,    1
    1,   26, 0.15798868E+02,    1,    1
    1,   27, 0.16851445E+02,    1,    1
    1,   28, 0.17992008E+02,    1,    1
    1,   29, 0.23067098E+02,    1,    1
    1,   30, 0.24980823E+02,    1,    1
  320,    1, 0.00000000E+00,    1,    1
  320,    2, 0.00000000E+00,    1,    1
  320,    3, 0.00000000E+00,    1,    1
  320,    4, 0.25197094E+00,    1,    1
  320,    5, 0.39815231E+00,    1,    1
  320,    6, 0.59684008E+00,    1,    1
  320,    7, 0.67821886E+00,    1,    1
  320,    8, 0.85593334E+00,    1,    1
  320,    9, 0.35318354E+01,    1,    1
  320,   10, 0.36225574E+01,    1,    1
  320,   11, 0.39263782E+01,    1,    1
  320,   12, 0.42950814E+01,    1,    1
  320,   13, 0.49994269E+01,    1,    1
  320,   14, 0.52202471E+01,    1,    1
  320,   15, 0.85643257E+01,    1,    1
  320,   16, 0.93615352E+01,    1,    1
  320,   17, 0.11147113E+02,    1,    1
  320,   18, 0.11371645E+02,    1,    1
  320,   19, 0.12201104E+02,    1,    1
  320,   20, 0.12426602E+02,    1,    1
  320,   21, 0.13115048E+02,    1,    1
  320,   22, 0.13276107E+02,    1,    1
  320,   23, 0.13846695E+02,    1,    1
  320,   24, 0.14048245E+02,    1,    1
  320,   25, 0.15669783E+02,    1,    1
  320,   26, 0.15798868E+02,    1,    1
  320,   27, 0.16851445E+02,    1,    1
  320,   28, 0.17992008E+02,    1,    1
  320,   29, 0.23067098E+02,    1,    1
  320,   30, 0.24980823E+02,    1,    1
