case,group,cutoff_A,n_frames,first_frame,last_frame,sample_spacing_steps,sample_span_fs,mean_temperature_K,temperature_std_K,predicted_force_rms_eV_A,residual_force_rms_eV_A,residual_force_std_eV_A,force_fit_R2,anharmonicity_sigma_A,minimum_frequency_THz,minimum_q_index,minimum_band_1based,negative_values
baseline_all_5p5A,baseline,5.5,1017,1,1017,1,983.0816,294.22941160301866,42.58123433157049,0.993553,0.383101,0.221183,0.870567,0.359769,-1.05025304934,257,1,97
cutoff_4p5A,cutoff,4.5,1017,1,1017,1,983.0816,294.22941160301866,42.58123433157049,0.982911,0.409633,0.236502,0.852018,0.384685,-1.08220324374,239,1,270
cutoff_5p0A,cutoff,5.0,1017,1,1017,1,983.0816,294.22941160301866,42.58123433157049,0.990992,0.389676,0.224979,0.866086,0.365943,-0.879834553539,239,1,150
stride_05,stride,5.5,204,1,1016,5,982.114,294.09879071014706,42.218635340364344,0.99246,0.382717,0.220962,0.870544,0.359799,-1.05000246063,254,1,97
stride_10,stride,5.5,102,1,1011,10,977.2760000000001,293.8122935739216,40.22409071165055,0.991433,0.382127,0.220621,0.870659,0.35964,-1.05159620693,259,1,97
stride_20,stride,5.5,51,1,1001,20,967.6,294.8315136296078,40.431207357079394,0.977255,0.377725,0.218079,0.870023,0.360523,-1.07488827692,266,1,97
window_early_half,window,5.5,508,1,508,1,490.5732,283.98498099171263,47.79991466893294,0.990499,0.353879,0.204312,0.886804,0.336446,-0.877460042817,273,1,142
window_late_half,window,5.5,509,509,1017,1,491.5408,304.45371563159136,33.70902491619375,1.019707,0.348784,0.201371,0.89526,0.323636,-1.74889268869,239,1,192
window_discard_first_20pct,window,5.5,814,204,1017,1,786.6588,305.4502193164619,33.84294466016337,1.013155,0.383492,0.221409,0.874682,0.354002,-1.90850919209,252,1,149
cumulative_0250,cumulative,5.5,250,1,250,1,240.9324,255.12418215611999,42.18133165747182,0.980437,0.243222,0.140424,0.942027,0.240777,-3.87215383331,262,1,687
cumulative_0500,cumulative,5.5,500,1,500,1,482.8324,283.65179625258,48.0888160823617,0.990911,0.353402,0.204036,0.887158,0.335919,-0.878387041255,273,1,137
cumulative_0750,cumulative,5.5,750,1,750,1,724.7324,296.75692347702665,45.197286640321096,1.001623,0.373786,0.215805,0.87776,0.349628,-0.772154460925,276,1,139
