# x_Ainv held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz held_b7_THz held_b8_THz held_b9_THz held_b10_THz held_b11_THz held_b12_THz held_b13_THz held_b14_THz held_b15_THz held_b16_THz held_b17_THz held_b18_THz held_b19_THz held_b20_THz held_b21_THz held_b22_THz held_b23_THz held_b24_THz held_b25_THz held_b26_THz held_b27_THz held_b28_THz held_b29_THz held_b30_THz
0.000000000000e+00 -3.078757835842e+01 -2.164564226897e+01 -1.894702377372e+01 -1.759250911920e+01 -1.588572481600e+01 -1.520400917959e+01 -1.440804725632e+01 -1.132499924172e+01 -1.074154785608e+01 -8.363682548963e+00 -4.887843318630e+00 -4.756001448467e+00 -2.966045300101e+00 -5.666089458410e-01 2.759200538475e+00 2.811577201205e+00 6.971180436293e+00 7.825910728221e+00 1.052139245568e+01 1.216439475933e+01 1.223400694122e+01 1.459271974643e+01 1.538766852415e+01 1.611518666915e+01 1.804300641247e+01 1.902200338479e+01 2.131588017415e+01 2.260045960112e+01 2.442530225263e+01 3.028271043280e+01
1.221469459685e-02 -3.078766824043e+01 -2.164656281340e+01 -1.894905252397e+01 -1.759393414222e+01 -1.588636542431e+01 -1.520500711243e+01 -1.440838473378e+01 -1.132172457433e+01 -1.075123746939e+01 -8.365682650989e+00 -4.898431807033e+00 -4.757416432733e+00 -2.945952440638e+00 -4.495848347109e-01 2.765815399587e+00 2.791443959571e+00 6.970478289797e+00 7.831698698116e+00 1.052159076435e+01 1.216559060540e+01 1.223377998831e+01 1.459563470566e+01 1.538758171812e+01 1.611517591819e+01 1.804253361201e+01 1.902416195944e+01 2.131731201042e+01 2.260007480090e+01 2.442541524130e+01 3.028355538062e+01
2.442938919371e-02 -3.078793767151e+01 -2.164932685132e+01 -1.895513665463e+01 -1.759819326357e+01 -1.588827829339e+01 -1.520800122452e+01 -1.440938324736e+01 -1.131194218570e+01 -1.078019922304e+01 -8.371399325710e+00 -4.929011768933e+00 -4.761232941886e+00 -2.886899093679e+00 3.016064034883e-01 2.741219664257e+00 2.785844918832e+00 6.968383031103e+00 7.848763933093e+00 1.052218314529e+01 1.216916936279e+01 1.223308882131e+01 1.460429544697e+01 1.538732962005e+01 1.611514445765e+01 1.804111590898e+01 1.903061985776e+01 2.132161830024e+01 2.259892066828e+01 2.442575436576e+01 3.028608895763e+01
3.664408379056e-02 -3.078838600606e+01 -2.165394152402e+01 -1.896526975640e+01 -1.760523885321e+01 -1.589143691121e+01 -1.521299264475e+01 -1.441100200782e+01 -1.129577549712e+01 -1.082810387935e+01 -8.380039806688e+00 -4.976501977332e+00 -4.766316805652e+00 -2.792101648247e+00 5.818254052193e-01 2.698687301610e+00 2.819834553780e+00 6.964928089471e+00 7.876267336405e+00 1.052316206550e+01 1.217510479861e+01 1.223190344163e+01 1.461845394545e+01 1.538693714253e+01 1.611509466156e+01 1.803875539726e+01 1.904132326132e+01 2.132883127261e+01 2.259699801184e+01 2.442632009711e+01 3.029030736469e+01
4.885877838741e-02 -3.078901216562e+01 -2.166041849242e+01 -1.897944098612e+01 -1.761499224353e+01 -1.589579825032e+01 -1.521998388860e+01 -1.441317613456e+01 -1.127342562464e+01 -1.089438167648e+01 -8.390456846448e+00 -5.036972430392e+00 -4.771184622307e+00 -2.665765791273e+00 3.943609835964e-01 2.733632047150e+00 2.868656391423e+00 6.960168822351e+00 7.912978594345e+00 1.052451530315e+01 1.218335355511e+01 1.223017678255e+01 1.463771102973e+01 1.538644564812e+01 1.611503047671e+01 1.803545556267e+01 1.905618139146e+01 2.133900424564e+01 2.259430819401e+01 2.442711320630e+01 3.029620427062e+01
6.107347298427e-02 -3.078981463528e+01 -2.166877357644e+01 -1.899763483255e+01 -1.762734482029e+01 -1.590130441859e+01 -1.522897983274e+01 -1.441582090425e+01 -1.124516498290e+01 -1.097820721868e+01 -8.401350399632e+00 -5.106585428140e+00 -4.774368306576e+00 -2.512207880079e+00 -8.664945814357e-01 2.892575879460e+00 2.933433679961e+00 6.954182045585e+00 7.957466021141e+00 1.052622642165e+01 1.219385568945e+01 1.222784860368e+01 1.466153630848e+01 1.538591271031e+01 1.611495740738e+01 1.803122127698e+01 1.907506508521e+01 2.135221097317e+01 2.259085315290e+01 2.442813474311e+01 3.030377081330e+01
7.328816758112e-02 -3.079079145855e+01 -2.167902625339e+01 -1.901983080337e+01 -1.764215957762e+01 -1.590788480291e+01 -1.523998912754e+01 -1.441883697284e+01 -1.121132921173e+01 -1.107850202580e+01 -8.411459848631e+00 -5.182097408910e+00 -4.774650748866e+00 -2.335402593796e+00 -1.524132837169e+00 3.015398931057e+00 3.146629480578e+00 6.947065511234e+00 8.008273366929e+00 1.052827538505e+01 1.220653541748e+01 1.222485008323e+01 1.468929350913e+01 1.538541177412e+01 1.611488249336e+01 1.802605878952e+01 1.909780518674e+01 2.136854461601e+01 2.258663543231e+01 2.442938600725e+01 3.031299560135e+01
8.550286217797e-02 -3.079194023091e+01 -2.169119901904e+01 -1.904600304742e+01 -1.765927315118e+01 -1.591545855786e+01 -1.525302609693e+01 -1.442211601007e+01 -1.119396245813e+01 -1.117230813238e+01 -8.419705401873e+00 -5.260980747291e+00 -4.771154748224e+00 -2.138834171605e+00 -2.090290962366e+00 3.115664331579e+00 3.446807117479e+00 6.938937472578e+00 8.064049661593e+00 1.053063927297e+01 1.222110852736e+01 1.222130204887e+01 1.472026909952e+01 1.538503170522e+01 1.611481428056e+01 1.801997571638e+01 1.912419111390e+01 2.138811622916e+01 2.258165821926e+01 2.443086851216e+01 3.032386471641e+01
9.771755677482e-02 -3.079325809199e+01 -2.170531661756e+01 -1.907611992970e+01 -1.767849833095e+01 -1.592393727489e+01 -1.526811319125e+01 -1.442554621182e+01 -1.132311072280e+01 -1.112853644155e+01 -8.425262918186e+00 -5.341347139336e+00 -4.763342838691e+00 -2.597068065272e+00 -1.925359171022e+00 3.234910668814e+00 3.762928930784e+00 6.929936524544e+00 8.123622898024e+00 1.053329304973e+01 1.221655173120e+01 1.223805109654e+01 1.475370198142e+01 1.538487620317e+01 1.611476278343e+01 1.801298102718e+01 1.915397002161e+01 2.141105263521e+01 2.257592538827e+01 2.443258394216e+01 3.033636171637e+01
1.099322513717e-01 -3.079474171633e+01 -2.172140514884e+01 -1.911014357967e+01 -1.769962703547e+01 -1.593322766701e+01 -1.528528407639e+01 -1.442901725242e+01 -1.146435871833e+01 -1.108048476993e+01 -8.427579165972e+00 -5.421808399985e+00 -4.751009872368e+00 -3.058454145331e+00 -1.696778383136e+00 3.373057009935e+00 4.080101576590e+00 6.920221969051e+00 8.186025652243e+00 1.053621034282e+01 1.221111170934e+01 1.225666553930e+01 1.478881222696e+01 1.538506302901e+01 1.611473943823e+01 1.800508502932e+01 1.918684701081e+01 2.143749354497e+01 2.256944155171e+01 2.443453410369e+01 3.035046763940e+01
1.221469459685e-01 -3.079638730301e+01 -2.173949106560e+01 -1.914802943493e+01 -1.772243370528e+01 -1.594323411730e+01 -1.530458746107e+01 -1.443242437763e+01 -1.161607182069e+01 -1.102865159369e+01 -8.426346845434e+00 -5.501340522015e+00 -4.734387673382e+00 -3.482487274002e+00 -1.452782669852e+00 3.529031695150e+00 4.391105623593e+00 6.909975039078e+00 8.250487669115e+00 1.053936419076e+01 1.220472770435e+01 1.227701721244e+01 1.482482722668e+01 1.538572295586e+01 1.611475704608e+01 1.799629934985e+01 1.922248681361e+01 2.146758779430e+01 2.256221211487e+01 2.443672087163e+01 3.036616100929e+01
1.343616405654e-01 -3.079819056391e+01 -2.175960007625e+01 -1.918972580399e+01 -1.774667904763e+01 -1.595386096676e+01 -1.532609178272e+01 -1.443567148633e+01 -1.177662207771e+01 -1.097355632384e+01 -8.421460439876e+00 -5.579172846686e+00 -4.714744019675e+00 -3.873246416242e+00 -1.188538948610e+00 3.700765709863e+00 4.692375768474e+00 6.899401439739e+00 8.316410030356e+00 1.054272772731e+01 1.219734853490e+01 1.229896829810e+01 1.486100415706e+01 1.538699828680e+01 1.611482970451e+01 1.798663691481e+01 1.926051731213e+01 2.150148859853e+01 2.255424333514e+01 2.443914613151e+01 3.038341784215e+01
1.465763351622e-01 -3.080014671097e+01 -2.178175597421e+01 -1.923517347158e+01 -1.777211404176e+01 -1.596501445087e+01 -1.534989088806e+01 -1.443867318165e+01 -1.194442512346e+01 -1.091573373259e+01 -8.412969316253e+00 -5.654704494417e+00 -4.698022692309e+00 -4.228410551661e+00 -8.876611031473e-01 3.885436114178e+00 4.982154962441e+00 6.888735857617e+00 8.383331878310e+00 1.054627477852e+01 1.218893443914e+01 1.232237288506e+01 1.489664827761e+01 1.538904069767e+01 1.611497272628e+01 1.797611192607e+01 1.930053511898e+01 2.153934778953e+01 2.254554238369e+01 2.444181171871e+01 3.040221165483e+01
1.587910297591e-01 -3.080225044222e+01 -2.180597941881e+01 -1.928430536942e+01 -1.779848409592e+01 -1.597660423292e+01 -1.537611085063e+01 -1.444135587260e+01 -1.211795982513e+01 -1.085572972604e+01 -8.401038090738e+00 -5.727443655323e+00 -4.733055402482e+00 -4.501695306660e+00 -4.823999773759e-01 4.079856943325e+00 5.259627705724e+00 6.878249397117e+00 8.450896598419e+00 1.054998035833e+01 1.217945860444e+01 1.234707856741e+01 1.493112714749e+01 1.539200806885e+01 1.611520254418e+01 1.796473983576e+01 1.934211326201e+01 2.158130909717e+01 2.253611740888e+01 2.444471935568e+01 3.042251347529e+01
1.710057243559e-01 -3.080449592699e+01 -2.183228669731e+01 -1.933704633298e+01 -1.782553323753e+01 -1.598854451876e+01 -1.540491805238e+01 -1.444365807176e+01 -1.229577280924e+01 -1.079409834521e+01 -8.385919017621e+00 -5.796964311936e+00 -4.961512530055e+00 -4.553267867016e+00 5.109397317439e-01 4.280855646896e+00 5.524490391178e+00 6.868261401054e+00 8.518821116556e+00 1.055382105796e+01 1.216890856390e+01 1.237292805221e+01 1.496388131570e+01 1.539605991678e+01 1.611553660038e+01 1.795253731810e+01 1.938481079011e+01 2.162750066473e+01 2.252597759981e+01 2.444787058814e+01 3.044429185529e+01
1.832204189528e-01 -3.080687679010e+01 -2.186068850152e+01 -1.939331296192e+01 -1.785300821540e+01 -1.600075476957e+01 -1.543652859738e+01 -1.444553006477e+01 -1.247647141272e+01 -1.073139977364e+01 -8.367938063771e+00 -5.862875773582e+00 -5.246893771629e+00 -4.520965973793e+00 8.386096609207e-01 4.485519351676e+00 5.776726617317e+00 6.859157926936e+00 8.586869807431e+00 1.055777533155e+01 1.215728760108e+01 1.239976074867e+01 1.499443226448e+01 1.540135112221e+01 1.611599321911e+01 1.793952223894e+01 1.942818387423e+01 2.167802713371e+01 2.251513324918e+01 2.445126672135e+01 3.046751288570e+01
1.954351135496e-01 -3.080938609532e+01 -2.189118875510e+01 -1.945301359783e+01 -1.788066239868e+01 -1.601316005346e+01 -1.547121898476e+01 -1.444693313002e+01 -1.265870878857e+01 -1.066819904633e+01 -8.347495284856e+00 -5.924801572455e+00 -5.523537731067e+00 -4.471406079617e+00 1.050755168529e+00 4.691283147407e+00 6.016484474629e+00 6.851420478368e+00 8.654833268681e+00 1.056182368717e+01 1.214461625169e+01 1.242741431492e+01 1.502238822866e+01 1.540802401365e+01 1.611659146169e+01 1.792571362282e+01 1.947179775191e+01 2.173296177588e+01 2.250359581385e+01 2.445490875738e+01 3.049214021488e+01
