# Raman activity for   2 active q-points
# iq: q-point index on path
# imode: mode index
# frequency: mode frequency in THz
# active_raman: Raman active yes/no (1/0)
# active_ir: IR active yes/no (1/0)
iq,imode,frequency,active_raman,active_ir
    1,    1,-0.60098573E+00,    1,    1
    1,    2,-0.51387745E-06,    1,    1
    1,    3,-0.30900757E-06,    1,    1
    1,    4,-0.12586147E-06,    1,    1
    1,    5,-0.90242981E-07,    1,    1
    1,    6, 0.00000000E+00,    1,    1
    1,    7, 0.00000000E+00,    1,    1
    1,    8, 0.00000000E+00,    1,    1
    1,    9, 0.13413356E-06,    1,    1
    1,   10, 0.49060307E+00,    1,    1
    1,   11, 0.24240333E+01,    1,    1
    1,   12, 0.31770498E+01,    1,    1
    1,   13, 0.32211142E+01,    1,    1
    1,   14, 0.36246542E+01,    1,    1
    1,   15, 0.54367639E+01,    1,    1
    1,   16, 0.56617146E+01,    1,    1
    1,   17, 0.70781133E+01,    1,    1
    1,   18, 0.74006353E+01,    1,    1
    1,   19, 0.74390065E+01,    1,    1
    1,   20, 0.77005424E+01,    1,    1
    1,   21, 0.84505123E+01,    1,    1
    1,   22, 0.94105364E+01,    1,    1
    1,   23, 0.96905478E+01,    1,    1
    1,   24, 0.10333154E+02,    1,    1
    1,   25, 0.10345416E+02,    1,    1
    1,   26, 0.11092731E+02,    1,    1
    1,   27, 0.11241462E+02,    1,    1
    1,   28, 0.11729517E+02,    1,    1
    1,   29, 0.12686562E+02,    1,    1
    1,   30, 0.13542416E+02,    1,    1
  320,    1,-0.60098573E+00,    1,    1
  320,    2,-0.51387745E-06,    1,    1
  320,    3,-0.30900757E-06,    1,    1
  320,    4,-0.12586147E-06,    1,    1
  320,    5,-0.90242981E-07,    1,    1
  320,    6, 0.00000000E+00,    1,    1
  320,    7, 0.00000000E+00,    1,    1
  320,    8, 0.00000000E+00,    1,    1
  320,    9, 0.13413356E-06,    1,    1
  320,   10, 0.49060307E+00,    1,    1
  320,   11, 0.24240333E+01,    1,    1
  320,   12, 0.31770498E+01,    1,    1
  320,   13, 0.32211142E+01,    1,    1
  320,   14, 0.36246542E+01,    1,    1
  320,   15, 0.54367639E+01,    1,    1
  320,   16, 0.56617146E+01,    1,    1
  320,   17, 0.70781133E+01,    1,    1
  320,   18, 0.74006353E+01,    1,    1
  320,   19, 0.74390065E+01,    1,    1
  320,   20, 0.77005424E+01,    1,    1
  320,   21, 0.84505123E+01,    1,    1
  320,   22, 0.94105364E+01,    1,    1
  320,   23, 0.96905478E+01,    1,    1
  320,   24, 0.10333154E+02,    1,    1
  320,   25, 0.10345416E+02,    1,    1
  320,   26, 0.11092731E+02,    1,    1
  320,   27, 0.11241462E+02,    1,    1
  320,   28, 0.11729517E+02,    1,    1
  320,   29, 0.12686562E+02,    1,    1
  320,   30, 0.13542416E+02,    1,    1
