mode,qe_THz,reference_THz,difference_THz,qe_cm-1,reference_cm-1,difference_cm-1
1,-0.09258790,-0.00020543,-0.09238247,-3.08840,-0.00685,-3.08155
2,-0.07276263,-0.00008549,-0.07267714,-2.42710,-0.00285,-2.42425
3,-0.00000000,0.00000026,-0.00000026,-0.00000,0.00001,-0.00001
4,2.95375316,3.15849530,-0.20474214,98.52660,105.35606,-6.82946
5,3.73515321,3.24659498,0.48855822,124.59130,108.29475,16.29655
6,4.69734310,4.22617247,0.47117062,156.68650,140.96994,15.71656
7,4.82874813,4.43140834,0.39733978,161.06970,147.81587,13.25383
8,4.89701986,4.79067807,0.10634179,163.34700,159.79982,3.54718
9,5.00474429,5.66013889,-0.65539460,166.94030,188.80191,-21.86161
10,5.66258487,5.90421273,-0.24162786,188.88350,196.94334,-8.05984
11,7.91673336,7.47712388,0.43960948,264.07380,249.41001,14.66379
12,8.43873199,8.03388295,0.40484904,281.48580,267.98149,13.50431
13,9.15753837,9.20742441,-0.04988604,305.46260,307.12662,-1.66402
14,9.48292411,9.50920311,-0.02627900,316.31630,317.19287,-0.87657
15,10.37634760,10.04002868,0.33631892,346.11770,334.89931,11.21839
16,10.54245661,10.20645791,0.33599870,351.65850,340.45079,11.20771
17,10.83401377,10.31987867,0.51413510,361.38380,344.23410,17.14970
18,11.54168886,11.52744431,0.01424454,384.98930,384.51415,0.47515
19,13.86555108,12.64337977,1.22217131,462.50500,421.73775,40.76725
20,13.89715820,13.50413339,0.39302481,463.55930,450.44940,13.10990
21,14.51449682,13.79713070,0.71736613,484.15150,460.22274,23.92876
22,15.25151859,15.78424185,-0.53272326,508.73590,526.50564,-17.76974
23,18.14194060,16.72022204,1.42171856,605.15000,557.72657,47.42343
24,18.78488749,17.98589562,0.79899187,626.59640,599.94490,26.65150
25,19.49683462,18.74828701,0.74854761,650.34440,625.37554,24.96886
26,20.24702628,18.85179311,1.39523317,675.36810,628.82813,46.53997
27,20.53757613,19.52955439,1.00802174,685.05980,651.43581,33.62399
28,21.61395697,20.83311864,0.78083833,720.96400,694.91804,26.04596
29,22.51306453,21.94292299,0.57014154,750.95500,731.93713,19.01787
30,22.89577059,22.32608248,0.56968811,763.72070,744.71795,19.00275
