branch,mae_THz,rmse_THz,mean_signed_error_THz
1,0.35183461,0.41597393,-0.05881337
2,0.42428951,0.47875118,0.12418062
3,0.20648113,0.26190910,0.05013932
4,0.16904582,0.21413778,-0.00024990
5,0.26193925,0.31598259,0.14877131
6,0.24154341,0.29198550,0.14123380
7,0.29256572,0.35010427,0.19575841
8,0.18503052,0.23167363,0.11880191
9,0.24229464,0.30327327,-0.04161114
10,0.17373501,0.23074008,0.00828951
11,0.12386671,0.14769668,0.08797330
12,0.20111615,0.22726241,0.14274595
13,0.25817832,0.28328103,0.25482144
14,0.26652808,0.29665839,0.25721831
15,0.28998374,0.30632641,0.28998374
16,0.22864746,0.26357167,0.21574375
17,0.31237241,0.32985711,0.29939719
18,0.27696147,0.31447785,0.25398731
19,0.51300684,0.53539928,0.51300684
20,0.52173876,0.55327916,0.52173876
21,0.68214589,0.69023544,0.68214589
22,0.60044486,0.63924414,0.59695159
23,0.68391553,0.70538785,0.68391553
24,0.79796025,0.80256966,0.79796025
25,0.98477585,1.03969230,0.98477585
26,1.19044073,1.22534579,1.19044073
27,0.86627563,0.91222850,0.86627563
28,0.72253761,0.73862119,0.72253761
29,0.67079116,0.69328029,0.67079116
30,0.82773553,0.85983161,0.82773553
